"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4096953797,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/156591360","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.66281,12.18825,8,NA,NA,NA,NA,NA,"2023-04-23T13:13:00",23,4,2023,8426551,8426551,"HUMAN_OBSERVATION","iNaturalist","Observations","156591360","","samuele2010","2023-04-25T15:42:10","CC_BY_NC_4_0","samuele2010","samuele2010",NA,"","2023-06-14 09:55:17","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.18825 44.66281)"
4096689750,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/156617777","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.66291,12.1884,2,NA,NA,NA,NA,NA,"2023-04-06T07:58:00",6,4,2023,8426551,8426551,"HUMAN_OBSERVATION","iNaturalist","Observations","156617777","","gaetano_forti","2023-04-25T18:42:15","CC_BY_NC_4_0","gaetano_forti","gaetano_forti",NA,"","2023-06-14 10:13:54","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.1884 44.66291)"
4022338408,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/147284896","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.6623,12.18753,4,NA,NA,NA,NA,NA,"2022-08-22T08:30:00",22,8,2022,8426551,8426551,"HUMAN_OBSERVATION","iNaturalist","Observations","147284896","","gaetano_forti","2023-01-24T20:34:50","CC_BY_NC_4_0","gaetano_forti","gaetano_forti",NA,"","2023-06-14 10:12:34","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.18753 44.6623)"
4022007118,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/147194993","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.66222,12.18734,2,NA,NA,NA,NA,NA,"2022-08-22T06:01:00",22,8,2022,8426551,8426551,"HUMAN_OBSERVATION","iNaturalist","Observations","147194993","","Enrico Cecconello","2023-01-23T15:12:26","CC_BY_NC_4_0","gaetano_forti","gaetano_forti",NA,"","2023-06-14 09:53:42","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.18734 44.66222)"
3823709547,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/241849279","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","Italy - Comacchio (comuni)","","PRESENT",2,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.66312,12.18846,5,NA,NA,NA,NA,NA,"2021-07-17T00:00:00",17,7,2021,8426551,8426551,"HUMAN_OBSERVATION","","Observations","OBS.241849279","","","","CC_BY_NC_4_0","Stichting Observation International","User 119040",NA,"","2023-06-13 16:00:12","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.18846 44.66312)"
3785053128,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/117497625","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.66329,12.1889,16,NA,NA,NA,NA,NA,"2022-05-17T10:34:44",17,5,2022,8426551,8426551,"HUMAN_OBSERVATION","iNaturalist","Observations","117497625","","b8adi","2022-05-18T06:21:00","CC_BY_NC_4_0","Patricia","Patricia",NA,"","2023-06-14 10:09:27","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.1889 44.66329)"
3724975568,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/155769769","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","Italy - Comacchio (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.6681,12.21545,25,NA,NA,NA,NA,NA,"2018-05-02T00:00:00",2,5,2018,8426551,8426551,"HUMAN_OBSERVATION","","Observations","OBS.155769769","","","","CC_BY_NC_4_0","Stichting Observation International","User 123531",NA,"","2023-06-13 15:59:00","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.21545 44.6681)"
3657775962,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1138381252","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","Big day area","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.622,12.18465,NA,NA,NA,NA,NA,NA,"2021-05-01T00:00:00",1,5,2021,8426551,8426551,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1138381252","","","","CC_BY_4_0","","obsr608674",NA,"","2023-06-07 15:28:31","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.18465 44.622)"
3654122311,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1273796748","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","Valli di Comacchio--Stazione da pesca Foce","Emilia-Romagna","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.66448,12.18727,NA,NA,NA,NA,NA,NA,"2021-05-31T00:00:00",31,5,2021,8426551,8426551,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1273796748","","","","CC_BY_4_0","","obsr1680066",NA,"","2023-06-07 15:32:43","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.18727 44.66448)"
3653629492,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1234042682","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","Valle Fattibello","Emilia-Romagna","PRESENT",20,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.67292,12.19729,NA,NA,NA,NA,NA,NA,"2021-09-10T00:00:00",10,9,2021,8426551,8426551,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1234042682","","","","CC_BY_4_0","","obsr1057387",NA,"","2023-06-07 15:14:26","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.19729 44.67292)"
3613669261,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1135924204","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","Valli di Comacchio--Boscoforte","Emilia-Romagna","PRESENT",37,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.55564,12.15384,NA,NA,NA,NA,NA,NA,"2021-04-29T00:00:00",29,4,2021,8426551,8426551,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1135924204","","","","CC_BY_4_0","","obsr1756759",NA,"","2023-06-07 15:15:55","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.15384 44.55564)"
3601995015,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1232864280","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","Valli di Comacchio--Stazione da pesca Foce","Emilia-Romagna","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.66448,12.18727,NA,NA,NA,NA,NA,NA,"2021-09-08T00:00:00",8,9,2021,8426551,8426551,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1232864280","","","","CC_BY_4_0","","obsr1057387",NA,"","2023-06-07 15:17:46","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.18727 44.66448)"
3589355979,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1137606245","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","Valli di Comacchio--Oasi Valle Furlana","Emilia-Romagna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.56354,12.17182,NA,NA,NA,NA,NA,NA,"2021-05-01T00:00:00",1,5,2021,8426551,8426551,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1137606245","","","","CC_BY_4_0","","obsr1756759",NA,"","2023-06-07 15:28:45","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.17182 44.56354)"
3579216961,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1249286863","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","Valli di Comacchio--Saline","Emilia-Romagna","PRESENT",40,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.65703,12.20512,NA,NA,NA,NA,NA,NA,"2021-10-03T00:00:00",3,10,2021,8426551,8426551,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1249286863","","","","CC_BY_4_0","","obsr608674",NA,"","2023-06-07 15:28:52","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.20512 44.65703)"
3572057805,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1233398946","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","Valle Fattibello","Emilia-Romagna","PRESENT",6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.67292,12.19729,NA,NA,NA,NA,NA,NA,"2021-09-09T00:00:00",9,9,2021,8426551,8426551,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1233398946","","","","CC_BY_4_0","","obsr1057387",NA,"","2023-06-07 15:30:46","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.19729 44.67292)"
3518385357,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1136837677","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","Valli di Comacchio--Boscoforte","Emilia-Romagna","PRESENT",7,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.55564,12.15384,NA,NA,NA,NA,NA,NA,"2021-04-30T00:00:00",30,4,2021,8426551,8426551,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1136837677","","","","CC_BY_4_0","","obsr1756759",NA,"","2023-06-07 15:29:58","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.15384 44.55564)"
