"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3995262409,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/241423594","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer montanus","","SPECIES","Passer montanus (Linnaeus, 1758)","Passer montanus","","IT","Italy - Sicilia","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.80298,15.09918,10,NA,NA,NA,NA,NA,"2022-05-04T00:00:00",4,5,2022,5231198,5231198,"HUMAN_OBSERVATION","","Observations","OBS.241423594","","","","CC_BY_NC_4_0","Stichting Observation International","User 101243",NA,"","2023-06-13 15:57:52","","CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09918 36.80298)"
3947767821,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/139129822","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer montanus","","SPECIES","Passer montanus (Linnaeus, 1758)","Passer montanus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.80334,15.09932,2,NA,NA,NA,NA,NA,"2021-07-09T18:09:00",9,7,2021,5231198,5231198,"HUMAN_OBSERVATION","iNaturalist","Observations","139129822","","Alessandro Mazzoleni","2022-10-17T16:34:18","CC_BY_NC_4_0","Alessandro Mazzoleni","Alessandro Mazzoleni",NA,"","2023-06-14 10:11:09","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09932 36.80334)"
3251348815,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS972109846","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer montanus","","SPECIES","Passer montanus (Linnaeus, 1758)","Passer montanus","","IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2019-11-13T00:00:00",13,11,2019,5231198,5231198,"HUMAN_OBSERVATION","CLO","EBIRD","OBS972109846","","","","CC_BY_4_0","","obsr514376",NA,"","2023-06-07 15:32:00","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2842048875,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/101821672","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer montanus","","SPECIES","Passer montanus (Linnaeus, 1758)","Passer montanus","","IT","Italy - Noto (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.80426,15.09294,25,NA,NA,NA,NA,NA,"2015-05-04T00:00:00",4,5,2015,5231198,5231198,"HUMAN_OBSERVATION","","Observations","OBS.101821672","","","","CC_BY_NC_4_0","Stichting Observation International","User 45029",NA,"","2023-06-13 15:56:18","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09294 36.80426)"
2840181359,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/174296177","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer montanus","","SPECIES","Passer montanus (Linnaeus, 1758)","Passer montanus","","IT","Italy - Noto (comuni)","","PRESENT",2,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.80389,15.093,25,NA,NA,NA,NA,NA,"2019-06-12T00:00:00",12,6,2019,5231198,5231198,"HUMAN_OBSERVATION","","Observations","OBS.174296177","","","","CC_BY_NC_4_0","Stichting Observation International","User 6490",NA,"","2023-06-13 15:57:06","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.093 36.80389)"
2839406907,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/100736173","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer montanus","","SPECIES","Passer montanus (Linnaeus, 1758)","Passer montanus","","IT","Italy - Sicilia","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.8037,15.097,10,NA,NA,NA,NA,NA,"2015-04-08T00:00:00",8,4,2015,5231198,5231198,"HUMAN_OBSERVATION","","Observations","OBS.100736173","","","","CC_BY_NC_4_0","Stichting Observation International","User 45872",NA,"","2023-06-13 15:56:23","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.097 36.8037)"
2838124436,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/174296168","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer montanus","","SPECIES","Passer montanus (Linnaeus, 1758)","Passer montanus","","IT","Italy - Noto (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.79853,15.09309,25,NA,NA,NA,NA,NA,"2019-06-12T00:00:00",12,6,2019,5231198,5231198,"HUMAN_OBSERVATION","","Observations","OBS.174296168","","","","CC_BY_NC_4_0","Stichting Observation International","User 6490",NA,"","2023-06-13 15:59:30","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09309 36.79853)"
2837629630,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/168290953","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer montanus","","SPECIES","Passer montanus (Linnaeus, 1758)","Passer montanus","","IT","Italy - Noto (comuni)","","PRESENT",4,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.80423,15.09312,25,NA,NA,NA,NA,NA,"2019-03-05T00:00:00",5,3,2019,5231198,5231198,"HUMAN_OBSERVATION","","Observations","OBS.168290953","","","","CC_BY_NC_4_0","Stichting Observation International","User 86675",NA,"","2023-06-13 15:57:03","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09312 36.80423)"
2786723810,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS804157932","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer montanus","","SPECIES","Passer montanus (Linnaeus, 1758)","Passer montanus","","IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2019-09-11T00:00:00",11,9,2019,5231198,5231198,"HUMAN_OBSERVATION","CLO","EBIRD","OBS804157932","","","","CC_BY_4_0","","obsr990628",NA,"","2023-06-07 15:09:51","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2784090002,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS864705158","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer montanus","","SPECIES","Passer montanus (Linnaeus, 1758)","Passer montanus","","IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2014-05-03T00:00:00",3,5,2014,5231198,5231198,"HUMAN_OBSERVATION","CLO","EBIRD","OBS864705158","","","","CC_BY_4_0","","obsr416326",NA,"","2023-06-07 15:26:30","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
