"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4127312103,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/163844224","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo","","SPECIES","Phalacrocorax carbo (Linnaeus, 1758)","Phalacrocorax carbo","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78396,8.72253,NA,NA,NA,NA,NA,NA,"2023-04-29T15:15:00",29,4,2023,2481890,2481890,"HUMAN_OBSERVATION","iNaturalist","Observations","163844224","","Gabriele La Grasta","2023-05-26T17:29:22","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-14 10:14:52","StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72253 45.78396)"
4127237959,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/163550774","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo","","SPECIES","Phalacrocorax carbo (Linnaeus, 1758)","Phalacrocorax carbo","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.77757,8.71478,NA,NA,NA,NA,NA,NA,"2023-04-29T10:55:00",29,4,2023,2481890,2481890,"HUMAN_OBSERVATION","iNaturalist","Observations","163550774","","Gabriele La Grasta","2023-05-24T21:36:22","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-14 10:14:02","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.71478 45.77757)"
4127026471,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/163499627","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo","","SPECIES","Phalacrocorax carbo (Linnaeus, 1758)","Phalacrocorax carbo","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.77778,8.71749,NA,NA,NA,NA,NA,NA,"2023-04-29T09:38:00",29,4,2023,2481890,2481890,"HUMAN_OBSERVATION","iNaturalist","Observations","163499627","","Gabriele La Grasta","2023-05-24T15:58:20","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-14 09:55:27","StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.71749 45.77778)"
4126776047,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/163666096","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo","","SPECIES","Phalacrocorax carbo (Linnaeus, 1758)","Phalacrocorax carbo","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78766,8.72583,NA,NA,NA,NA,NA,NA,"2023-05-25T14:09:00",25,5,2023,2481890,2481890,"HUMAN_OBSERVATION","iNaturalist","Observations","163666096","","Nicola","2023-05-25T16:16:10","CC_BY_NC_4_0","Nicola","Nicola",NA,NA,"2023-06-14 10:15:04","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72583 45.78766)"
4121083580,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/160531310","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo","","SPECIES","Phalacrocorax carbo (Linnaeus, 1758)","Phalacrocorax carbo","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78237,8.72493,61,NA,NA,NA,NA,NA,"2023-05-08T11:14:00",8,5,2023,2481890,2481890,"HUMAN_OBSERVATION","iNaturalist","Observations","160531310","","Dragonfyre","2023-05-08T09:55:41","CC_BY_NC_4_0","Dragonfyre","Dragonfyre",NA,NA,"2023-06-14 10:13:55","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72493 45.78237)"
4116592308,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/161628973","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo","","SPECIES","Phalacrocorax carbo (Linnaeus, 1758)","Phalacrocorax carbo","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78471,8.72217,15,NA,NA,NA,NA,NA,"2023-05-14T17:39:00",14,5,2023,2481890,2481890,"HUMAN_OBSERVATION","iNaturalist","Observations","161628973","","Dragonfyre","2023-05-14T16:33:14","CC_BY_NC_4_0","Dragonfyre","Dragonfyre",NA,NA,"2023-06-14 09:55:31","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72217 45.78471)"
4103210726,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/156781187","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo","","SPECIES","Phalacrocorax carbo (Linnaeus, 1758)","Phalacrocorax carbo","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78778,8.72584,NA,NA,NA,NA,NA,NA,"2023-04-26T16:57:00",26,4,2023,2481890,2481890,"HUMAN_OBSERVATION","iNaturalist","Observations","156781187","","Nicola","2023-04-26T19:40:09","CC_BY_NC_4_0","Nicola","Nicola",NA,NA,"2023-06-14 10:12:02","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72584 45.78778)"
4080514928,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/153725748","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo","","SPECIES","Phalacrocorax carbo (Linnaeus, 1758)","Phalacrocorax carbo","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78769,8.72584,NA,NA,NA,NA,NA,NA,"2023-04-06T14:59:00",6,4,2023,2481890,2481890,"HUMAN_OBSERVATION","iNaturalist","Observations","153725748","","Nicola","2023-04-06T20:04:46","CC_BY_NC_4_0","Nicola","Nicola",NA,NA,"2023-06-14 10:14:26","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72584 45.78769)"
4075866766,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/152514568","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo","","SPECIES","Phalacrocorax carbo (Linnaeus, 1758)","Phalacrocorax carbo","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78719,8.72091,NA,NA,NA,NA,NA,NA,"2023-03-27T15:31:00",27,3,2023,2481890,2481890,"HUMAN_OBSERVATION","iNaturalist","Observations","152514568","","Nicola","2023-03-27T15:46:02","CC_BY_NC_4_0","Nicola","Nicola",NA,NA,"2023-06-14 09:54:33","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72091 45.78719)"
4067258016,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/151300796","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo","","SPECIES","Phalacrocorax carbo (Linnaeus, 1758)","Phalacrocorax carbo","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78508,8.72222,31,NA,NA,NA,NA,NA,"2023-03-16T13:48:00",16,3,2023,2481890,2481890,"HUMAN_OBSERVATION","iNaturalist","Observations","151300796","","Dragonfyre","2023-03-16T14:41:55","CC_BY_NC_4_0","Dragonfyre","Dragonfyre",NA,NA,"2023-06-14 10:13:17","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72222 45.78508)"
