"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4134215494,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166974102","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Philaeus","Philaeus chrysops",NA,"SPECIES","Philaeus chrysops (Poda, 1761)","Philaeus chrysops","","IT","","Liguria","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.251526,9.48225,2,NA,NA,NA,NA,NA,"2023-06-11T16:05:00",11,6,2023,2176858,2176858,"HUMAN_OBSERVATION","iNaturalist","Observations","166974102",NA,"Francis Birlenbach","2023-06-12T07:33:23","CC_BY_NC_4_0","Francis Birlenbach","Francis Birlenbach",NA,NA,2023-06-21 11:24:23,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4134140602,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/167073061","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Philaeus","Philaeus chrysops",NA,"SPECIES","Philaeus chrysops (Poda, 1761)","Philaeus chrysops","","HR","","Zadarska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.024853,15.238425,NA,NA,NA,NA,NA,NA,"2023-06-12T17:34:10",12,6,2023,2176858,2176858,"HUMAN_OBSERVATION","iNaturalist","Observations","167073061",NA,"Paolo Soldani","2023-06-13T02:00:26","CC_BY_NC_4_0","mue-wie","mue-wie",NA,NA,2023-06-21 11:13:04,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4134123430,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/167178700","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Philaeus","Philaeus chrysops",NA,"SPECIES","Philaeus chrysops (Poda, 1761)","Philaeus chrysops","","HU","","Budapest","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",47.445006,18.979569,NA,NA,NA,NA,NA,NA,"2023-06-13T14:25:47",13,6,2023,2176858,2176858,"HUMAN_OBSERVATION","iNaturalist","Observations","167178700",NA,"ueiaraneae","2023-06-13T15:46:54","CC_BY_NC_4_0","Miklós Rapala","Miklós Rapala",NA,NA,2023-06-21 11:12:24,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4134111065,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166762362","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Philaeus","Philaeus chrysops",NA,"SPECIES","Philaeus chrysops (Poda, 1761)","Philaeus chrysops","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.354572,9.102966,27190,NA,NA,NA,NA,NA,"2023-06-11T10:30:00",11,6,2023,2176858,2176858,"HUMAN_OBSERVATION","iNaturalist","Observations","166762362",NA,"Andrea Albani","2023-06-11T09:31:33","CC_BY_4_0","Andrea Albani","Andrea Albani",NA,NA,2023-06-21 11:12:56,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4134105975,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166601337","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Philaeus","Philaeus chrysops",NA,"SPECIES","Philaeus chrysops (Poda, 1761)","Philaeus chrysops","","IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.794855,12.668913,5,NA,NA,NA,NA,NA,"2023-06-07T13:12:00",7,6,2023,2176858,2176858,"HUMAN_OBSERVATION","iNaturalist","Observations","166601337",NA,"Luca Odorico","2023-06-10T15:09:03","CC_BY_NC_4_0","Luca Odorico","Luca Odorico",NA,NA,2023-06-21 11:24:43,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4134069044,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166802831","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Philaeus","Philaeus chrysops",NA,"SPECIES","Philaeus chrysops (Poda, 1761)","Philaeus chrysops","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.66996,10.680032,NA,NA,NA,NA,NA,NA,"2023-06-11T16:10:39",11,6,2023,2176858,2176858,"HUMAN_OBSERVATION","iNaturalist","Observations","166802831",NA,"Paolo Soldani","2023-06-11T19:44:32","CC_BY_NC_4_0","eric04","eric04",NA,NA,2023-06-21 11:12:43,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES"
4134064191,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166970006","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Philaeus","Philaeus chrysops",NA,"SPECIES","Philaeus chrysops (Poda, 1761)","Philaeus chrysops","","HR","","Primorsko-Goranska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.905974,14.366547,NA,NA,NA,NA,NA,NA,"2023-06-11T16:43:09",11,6,2023,2176858,2176858,"HUMAN_OBSERVATION","iNaturalist","Observations","166970006",NA,"Ulli Grube","2023-06-12T06:41:54","CC_BY_NC_4_0","Ulli Grube","Ulli Grube",NA,NA,2023-06-21 11:24:28,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4134054353,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166576384","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Philaeus","Philaeus chrysops",NA,"SPECIES","Philaeus chrysops (Poda, 1761)","Philaeus chrysops","","IT","","Liguria","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.085899,9.907224,800,NA,NA,NA,NA,NA,"2023-06-10T14:31:17",10,6,2023,2176858,2176858,"HUMAN_OBSERVATION","iNaturalist","Observations","166576384",NA,"lewothy","2023-06-10T12:31:33","CC_BY_NC_4_0","lewothy","lewothy",NA,NA,2023-06-21 11:12:18,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4134049633,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/167165712","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Philaeus","Philaeus chrysops",NA,"SPECIES","Philaeus chrysops (Poda, 1761)","Philaeus chrysops","","IT","","Veneto","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.346577,11.21364,27190,NA,NA,NA,NA,NA,"2023-06-13T11:38:43",13,6,2023,2176858,2176858,"HUMAN_OBSERVATION","iNaturalist","Observations","167165712",NA,"ueiaraneae","2023-06-13T15:58:18","CC_BY_NC_4_0","Francesca Bo.","Francesca Bo.",NA,NA,2023-06-21 11:24:20,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4134018258,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/167004941","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Philaeus","Philaeus chrysops",NA,"SPECIES","Philaeus chrysops (Poda, 1761)","Philaeus chrysops","","IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.794834,12.66917,6,NA,NA,NA,NA,NA,"2023-06-08T19:27:00",8,6,2023,2176858,2176858,"HUMAN_OBSERVATION","iNaturalist","Observations","167004941",NA,"Luca Odorico","2023-06-12T13:13:56","CC_BY_NC_4_0","Luca Odorico","Luca Odorico",NA,NA,2023-06-21 11:12:24,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
