"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3902621170,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/132803035","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus","","SPECIES","Phoenicurus phoenicurus (Linnaeus, 1758)","Phoenicurus phoenicurus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.14848,9.37836,61,NA,NA,NA,NA,NA,"2022-08-29T09:18:00",29,8,2022,5739317,5739317,"HUMAN_OBSERVATION","iNaturalist","Observations","132803035",NA,"Roberto Brembilla","2022-08-29T11:56:23","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,"","2023-06-21 11:10:43","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.37836 46.14848)"
3892318145,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/130929062","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus","","SPECIES","Phoenicurus phoenicurus (Linnaeus, 1758)","Phoenicurus phoenicurus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.16407,9.38742,61,NA,NA,NA,NA,NA,"2022-08-15T08:41:00",15,8,2022,5739317,5739317,"HUMAN_OBSERVATION","iNaturalist","Observations","130929062",NA,"Roberto Brembilla","2022-08-15T13:18:39","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,"","2023-06-21 11:20:55","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.38742 46.16407)"
3860223103,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/122122464","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus","","SPECIES","Phoenicurus phoenicurus (Linnaeus, 1758)","Phoenicurus phoenicurus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.15039,9.3852,15,NA,NA,NA,NA,NA,"2022-06-13T08:19:00",13,6,2022,5739317,5739317,"HUMAN_OBSERVATION","iNaturalist","Observations","122122464",NA,"Roberto Brembilla","2022-06-17T05:24:47","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,"","2023-06-21 11:22:06","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.3852 46.15039)"
3691806097,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1196074784","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus","","SPECIES","Phoenicurus phoenicurus (Linnaeus, 1758)","Phoenicurus phoenicurus",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-07-03T00:00:00",3,7,2021,5739317,5739317,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1196074784",NA,"","","CC_BY_4_0","","obsr112627",NA,"","2023-06-07 15:29:37","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3670406012,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1140386086","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus","","SPECIES","Phoenicurus phoenicurus (Linnaeus, 1758)","Phoenicurus phoenicurus",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-05-02T00:00:00",2,5,2021,5739317,5739317,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1140386086",NA,"","","CC_BY_4_0","","obsr1635194",NA,"","2023-06-07 15:14:44","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3635511736,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1140576281","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus","","SPECIES","Phoenicurus phoenicurus (Linnaeus, 1758)","Phoenicurus phoenicurus",NA,"IT","Riserva Naturale Pian di Spagna Lago di Mezzola, Gera Lario IT-Lombardia 46.15076, 9.41110","Lombardia","PRESENT",12,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.15076,9.4111,NA,NA,NA,NA,NA,NA,"2021-05-03T00:00:00",3,5,2021,5739317,5739317,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1140576281",NA,"","","CC_BY_4_0","","obsr502426",NA,"","2023-06-07 15:15:45","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.4111 46.15076)"
3608349913,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1147625177","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus","","SPECIES","Phoenicurus phoenicurus (Linnaeus, 1758)","Phoenicurus phoenicurus",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,5739317,5739317,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1147625177",NA,"","","CC_BY_4_0","","obsr1243236",NA,"","2023-06-07 15:14:46","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3538171657,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1263518344","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus","","SPECIES","Phoenicurus phoenicurus (Linnaeus, 1758)","Phoenicurus phoenicurus",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-05-02T00:00:00",2,5,2021,5739317,5739317,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1263518344",NA,"","","CC_BY_4_0","","obsr2811114",NA,"","2023-06-07 15:15:23","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3532419319,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1196057891","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus","","SPECIES","Phoenicurus phoenicurus (Linnaeus, 1758)","Phoenicurus phoenicurus",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-06-28T00:00:00",28,6,2021,5739317,5739317,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1196057891",NA,"","","CC_BY_4_0","","obsr112627",NA,"","2023-06-07 15:35:23","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3277973928,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1067578632","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus","","SPECIES","Phoenicurus phoenicurus (Linnaeus, 1758)","Phoenicurus phoenicurus",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2019-04-30T00:00:00",30,4,2019,5739317,5739317,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1067578632",NA,"","","CC_BY_4_0","","obsr502426",NA,"","2023-06-07 15:14:54","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
