"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3654019092,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1233523716","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus trochilus","","SPECIES","Phylloscopus trochilus (Linnaeus, 1758)","Phylloscopus trochilus","","IT","Variconi","Campania","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-09-07T00:00:00",7,9,2021,2493052,2493052,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1233523716",NA,"","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:30:05","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3635572311,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1331917625","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus trochilus","","SPECIES","Phylloscopus trochilus (Linnaeus, 1758)","Phylloscopus trochilus","","IT","Oasi dei Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2015-03-28T00:00:00",28,3,2015,2493052,2493052,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1331917625",NA,"","","CC_BY_4_0","","obsr917699",NA,NA,"2023-06-07 15:32:34","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3619347596,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1114421701","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus trochilus","","SPECIES","Phylloscopus trochilus (Linnaeus, 1758)","Phylloscopus trochilus","","IT","Variconi","Campania","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-03-30T00:00:00",30,3,2021,2493052,2493052,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1114421701",NA,"","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:40:54","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3606831342,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1117355432","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus trochilus","","SPECIES","Phylloscopus trochilus (Linnaeus, 1758)","Phylloscopus trochilus","","IT","Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-04-09T00:00:00",9,4,2021,2493052,2493052,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1117355432",NA,"","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:29:43","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3577126280,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1332570529","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus trochilus","","SPECIES","Phylloscopus trochilus (Linnaeus, 1758)","Phylloscopus trochilus","","IT","Oasi dei Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2014-09-23T00:00:00",23,9,2014,2493052,2493052,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1332570529",NA,"","","CC_BY_4_0","","obsr917699",NA,NA,"2023-06-07 15:15:55","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3518173530,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1114421461","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus trochilus","","SPECIES","Phylloscopus trochilus (Linnaeus, 1758)","Phylloscopus trochilus","","IT","Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-03-26T00:00:00",26,3,2021,2493052,2493052,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1114421461",NA,"","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:27:28","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3294721658,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS981935220","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus trochilus","","SPECIES","Phylloscopus trochilus (Linnaeus, 1758)","Phylloscopus trochilus","","IT","Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2020-09-10T00:00:00",10,9,2020,2493052,2493052,"HUMAN_OBSERVATION","CLO","EBIRD","OBS981935220",NA,"","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:28:01","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3288748146,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1000917228","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus trochilus","","SPECIES","Phylloscopus trochilus (Linnaeus, 1758)","Phylloscopus trochilus","","IT","Variconi","Campania","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2020-09-22T00:00:00",22,9,2020,2493052,2493052,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1000917228",NA,"","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:15:15","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3273253977,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1000919675","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus trochilus","","SPECIES","Phylloscopus trochilus (Linnaeus, 1758)","Phylloscopus trochilus","","IT","Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2020-10-16T00:00:00",16,10,2020,2493052,2493052,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1000919675",NA,"","","CC_BY_4_0","","obsr605446",NA,NA,"2023-06-07 15:27:48","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3204420233,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1000917308","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus trochilus","","SPECIES","Phylloscopus trochilus (Linnaeus, 1758)","Phylloscopus trochilus","","IT","Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2020-09-24T00:00:00",24,9,2020,2493052,2493052,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1000917308",NA,"","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:39:25","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
