"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4127095223,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164431497","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica pica","","SPECIES","Pica pica (Linnaeus, 1758)","Pica pica",NA,"IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.66965,12.21993,31,NA,NA,NA,NA,NA,"2023-03-14T10:52:00",14,3,2023,5229490,5229490,"HUMAN_OBSERVATION","iNaturalist","Observations","164431497",NA,"eliegaget","2023-05-29T15:03:35","CC_BY_NC_4_0","eliegaget","eliegaget",NA,"","2023-06-14 09:55:12","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.21993 44.66965)"
4096988814,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/156591379","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica pica","","SPECIES","Pica pica (Linnaeus, 1758)","Pica pica",NA,"IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.6608,12.18489,4,NA,NA,NA,NA,NA,"2023-04-23T14:08:00",23,4,2023,5229490,5229490,"HUMAN_OBSERVATION","iNaturalist","Observations","156591379",NA,"samuele2010","2023-04-25T15:42:13","CC_BY_NC_4_0","samuele2010","samuele2010",NA,"","2023-06-14 09:55:17","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.18489 44.6608)"
3694875971,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1234031720","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica pica","","SPECIES","Pica pica (Linnaeus, 1758)","Pica pica",NA,"IT","Valle Fattibello","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.67292,12.19729,NA,NA,NA,NA,NA,NA,"2021-09-10T00:00:00",10,9,2021,5229490,5229490,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1234031720",NA,"","","CC_BY_4_0","","obsr1057387",NA,"","2023-06-07 15:15:04","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.19729 44.67292)"
3689756353,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1298931426","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica pica","","SPECIES","Pica pica (Linnaeus, 1758)","Pica pica",NA,"IT","Oasi Naturalistica Valle Zavalea","Emilia-Romagna","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.65572,12.11571,NA,NA,NA,NA,NA,NA,"2021-12-19T00:00:00",19,12,2021,5229490,5229490,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1298931426",NA,"","","CC_BY_4_0","","obsr426139",NA,"","2023-06-07 15:31:03","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.11571 44.65572)"
3675099641,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1135924192","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica pica","","SPECIES","Pica pica (Linnaeus, 1758)","Pica pica",NA,"IT","Valli di Comacchio--Boscoforte","Emilia-Romagna","PRESENT",18,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.55564,12.15384,NA,NA,NA,NA,NA,NA,"2021-04-29T00:00:00",29,4,2021,5229490,5229490,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1135924192",NA,"","","CC_BY_4_0","","obsr1756759",NA,"","2023-06-07 15:28:48","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.15384 44.55564)"
3674661602,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1136837636","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica pica","","SPECIES","Pica pica (Linnaeus, 1758)","Pica pica",NA,"IT","Valli di Comacchio--Boscoforte","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.55564,12.15384,NA,NA,NA,NA,NA,NA,"2021-04-30T00:00:00",30,4,2021,5229490,5229490,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1136837636",NA,"","","CC_BY_4_0","","obsr1756759",NA,"","2023-06-07 15:16:49","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.15384 44.55564)"
3647754044,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1256890711","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica pica","","SPECIES","Pica pica (Linnaeus, 1758)","Pica pica",NA,"IT","Valli di Comacchio--Boscoforte","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.55564,12.15384,NA,NA,NA,NA,NA,NA,"2021-10-13T00:00:00",13,10,2021,5229490,5229490,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1256890711",NA,"","","CC_BY_4_0","","obsr608674",NA,"","2023-06-07 15:33:46","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.15384 44.55564)"
3647340486,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1252013024","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica pica","","SPECIES","Pica pica (Linnaeus, 1758)","Pica pica",NA,"IT","Valli di Comacchio--Saline","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.65703,12.20512,NA,NA,NA,NA,NA,NA,"2016-06-14T00:00:00",14,6,2016,5229490,5229490,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1252013024",NA,"","","CC_BY_4_0","","obsr960988",NA,"","2023-06-07 15:16:51","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.20512 44.65703)"
3641799463,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1286502685","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica pica","","SPECIES","Pica pica (Linnaeus, 1758)","Pica pica",NA,"IT","Oasi Naturalistica Valle Zavalea","Emilia-Romagna","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.65572,12.11571,NA,NA,NA,NA,NA,NA,"2021-11-29T00:00:00",29,11,2021,5229490,5229490,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1286502685",NA,"","","CC_BY_4_0","","obsr1500311",NA,"","2023-06-07 15:16:59","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.11571 44.65572)"
3622756098,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1138372673","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica pica","","SPECIES","Pica pica (Linnaeus, 1758)","Pica pica",NA,"IT","Big day area","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.622,12.18465,NA,NA,NA,NA,NA,NA,"2021-05-01T00:00:00",1,5,2021,5229490,5229490,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1138372673",NA,"","","CC_BY_4_0","","obsr608674",NA,"","2023-06-07 15:41:53","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.18465 44.622)"
