"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3668817666,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1264392830","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus viridis","","SPECIES","Picus viridis Linnaeus, 1758","Picus viridis","","IT","Lago di Fogliano","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-10-24T00:00:00",24,10,2021,2478523,2478523,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1264392830",NA,"","","CC_BY_4_0","","obsr819422",NA,"","2023-06-07 15:30:38","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3662370432,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1245203344","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus viridis","","SPECIES","Picus viridis Linnaeus, 1758","Picus viridis","","IT","Pantani di Cicerchia","Lazio","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.41136,12.90252,NA,NA,NA,NA,NA,NA,"2021-09-22T00:00:00",22,9,2021,2478523,2478523,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1245203344",NA,"","","CC_BY_4_0","","obsr1610518",NA,"","2023-06-07 15:31:07","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.90252 41.41136)"
3638362022,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1145991569","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus viridis","","SPECIES","Picus viridis Linnaeus, 1758","Picus viridis","","IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,2478523,2478523,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1145991569",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:43:51","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3628955642,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1212962742","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus viridis","","SPECIES","Picus viridis Linnaeus, 1758","Picus viridis","","IT","Lago di Fogliano Parking","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.41349,12.87568,NA,NA,NA,NA,NA,NA,"2021-08-06T00:00:00",6,8,2021,2478523,2478523,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1212962742",NA,"","","CC_BY_4_0","","obsr543051",NA,"","2023-06-07 15:14:13","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.87568 41.41349)"
3600129191,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1146150391","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus viridis","","SPECIES","Picus viridis Linnaeus, 1758","Picus viridis","","IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,2478523,2478523,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1146150391",NA,"","","CC_BY_4_0","","obsr819422",NA,"","2023-06-07 15:28:59","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3586327938,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1304341265","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus viridis","","SPECIES","Picus viridis Linnaeus, 1758","Picus viridis","","IT","Lago di Fogliano","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-12-28T00:00:00",28,12,2021,2478523,2478523,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1304341265",NA,"","","CC_BY_4_0","","obsr543051",NA,"","2023-06-07 15:16:30","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3582456045,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1264285027","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus viridis","","SPECIES","Picus viridis Linnaeus, 1758","Picus viridis","","IT","Lago di Fogliano","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-10-24T00:00:00",24,10,2021,2478523,2478523,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1264285027",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:30:51","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3563628083,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1187395533","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus viridis","","SPECIES","Picus viridis Linnaeus, 1758","Picus viridis","","IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-06-21T00:00:00",21,6,2021,2478523,2478523,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1187395533",NA,"","","CC_BY_4_0","","obsr543051",NA,"","2023-06-07 15:31:01","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3506072873,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1066869735","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus viridis","","SPECIES","Picus viridis Linnaeus, 1758","Picus viridis","","IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-02-06T00:00:00",6,2,2021,2478523,2478523,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1066869735",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:15:04","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3297839291,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1012397460","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus viridis","","SPECIES","Picus viridis Linnaeus, 1758","Picus viridis","","IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2020-11-15T00:00:00",15,11,2020,2478523,2478523,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1012397460",NA,"","","CC_BY_4_0","","obsr819422",NA,"","2023-06-07 15:28:15","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
