"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4076173833,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/153447265","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps nigricollis","","SPECIES","Podiceps nigricollis C.L.Brehm, 1831","Podiceps nigricollis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.15063,9.38786,NA,NA,NA,NA,NA,NA,"2023-04-04T09:55:00",4,4,2023,2482065,2482065,"HUMAN_OBSERVATION","iNaturalist","Observations","153447265",NA,"Roberto Brembilla","2023-04-04T14:42:42","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-21 11:11:45","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.38786 46.15063)"
4075972132,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/152862737","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps nigricollis","","SPECIES","Podiceps nigricollis C.L.Brehm, 1831","Podiceps nigricollis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.14797,9.37751,NA,NA,NA,NA,NA,NA,"2023-03-30T09:04:00",30,3,2023,2482065,2482065,"HUMAN_OBSERVATION","iNaturalist","Observations","152862737",NA,"Roberto Brembilla","2023-03-30T20:06:04","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-21 11:11:49","StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.37751 46.14797)"
4067465622,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/151848394","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps nigricollis","","SPECIES","Podiceps nigricollis C.L.Brehm, 1831","Podiceps nigricollis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.15023,9.375,NA,NA,NA,NA,NA,NA,"2023-03-21T09:14:00",21,3,2023,2482065,2482065,"HUMAN_OBSERVATION","iNaturalist","Observations","151848394",NA,"Roberto Brembilla","2023-03-21T18:05:27","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-21 11:11:44","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.375 46.15023)"
3679947360,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1271834704","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps nigricollis","","SPECIES","Podiceps nigricollis C.L.Brehm, 1831","Podiceps nigricollis","","IT","Riserva Naturale Pian di Spagna Lago di Mezzola, Gera Lario IT-Lombardia 46.15076, 9.41110","Lombardia","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.15076,9.4111,NA,NA,NA,NA,NA,NA,"2021-11-06T00:00:00",6,11,2021,2482065,2482065,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1271834704",NA,"","","CC_BY_4_0","","obsr502426",NA,NA,"2023-06-07 15:30:20","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.4111 46.15076)"
3644121784,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1281435869","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps nigricollis","","SPECIES","Podiceps nigricollis C.L.Brehm, 1831","Podiceps nigricollis","","IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-11-21T00:00:00",21,11,2021,2482065,2482065,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1281435869",NA,"","","CC_BY_4_0","","obsr1683716",NA,NA,"2023-06-07 15:15:09","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3630488151,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1140386059","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps nigricollis","","SPECIES","Podiceps nigricollis C.L.Brehm, 1831","Podiceps nigricollis","","IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-05-02T00:00:00",2,5,2021,2482065,2482065,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1140386059",NA,"","","CC_BY_4_0","","obsr1635194",NA,NA,"2023-06-07 15:13:29","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3617239544,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1140576315","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps nigricollis","","SPECIES","Podiceps nigricollis C.L.Brehm, 1831","Podiceps nigricollis","","IT","Riserva Naturale Pian di Spagna Lago di Mezzola, Gera Lario IT-Lombardia 46.15076, 9.41110","Lombardia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.15076,9.4111,NA,NA,NA,NA,NA,NA,"2021-05-03T00:00:00",3,5,2021,2482065,2482065,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1140576315",NA,"","","CC_BY_4_0","","obsr502426",NA,NA,"2023-06-07 15:32:56","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.4111 46.15076)"
3546180088,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1263518317","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps nigricollis","","SPECIES","Podiceps nigricollis C.L.Brehm, 1831","Podiceps nigricollis","","IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-05-02T00:00:00",2,5,2021,2482065,2482065,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1263518317",NA,"","","CC_BY_4_0","","obsr2811114",NA,NA,"2023-06-07 15:17:00","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3296589495,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS993729258","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps nigricollis","","SPECIES","Podiceps nigricollis C.L.Brehm, 1831","Podiceps nigricollis","","IT","Pian Di Spagna Bocca D'adda, Lombardia, IT (46,18, 9,434)","Lombardia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18019,9.43367,NA,NA,NA,NA,NA,NA,"2020-10-10T00:00:00",10,10,2020,2482065,2482065,"HUMAN_OBSERVATION","CLO","EBIRD","OBS993729258",NA,"","","CC_BY_4_0","","obsr952775",NA,NA,"2023-06-07 15:30:56","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.43367 46.18019)"
3182663683,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS993224639","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps nigricollis","","SPECIES","Podiceps nigricollis C.L.Brehm, 1831","Podiceps nigricollis","","IT","Pian Di Spagna Bocca D'adda, Lombardia, IT (46,18, 9,434)","Lombardia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18019,9.43367,NA,NA,NA,NA,NA,NA,"2020-10-09T00:00:00",9,10,2020,2482065,2482065,"HUMAN_OBSERVATION","CLO","EBIRD","OBS993224639",NA,"","","CC_BY_4_0","","obsr952775",NA,NA,"2023-06-07 15:13:19","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.43367 46.18019)"
