"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3742990050,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/108746187","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Ptyonoprogne","Ptyonoprogne rupestris",NA,"SPECIES","Ptyonoprogne rupestris (Scopoli, 1769)","Ptyonoprogne rupestris",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.14874,9.39855,31,NA,NA,NA,NA,NA,"2022-03-16T08:21:00",16,3,2022,4408796,4408796,"HUMAN_OBSERVATION","iNaturalist","Observations","108746187",NA,"Roberto Brembilla","2022-03-16T19:45:17","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-21 11:09:05","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.39855 46.14874)"
3631334129,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1140386066","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Ptyonoprogne","Ptyonoprogne rupestris",NA,"SPECIES","Ptyonoprogne rupestris (Scopoli, 1769)","Ptyonoprogne rupestris",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-05-02T00:00:00",2,5,2021,4408796,4408796,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1140386066",NA,"","","CC_BY_4_0","","obsr1635194",NA,NA,"2023-06-07 15:19:46","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3556692098,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1196073651","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Ptyonoprogne","Ptyonoprogne rupestris",NA,"SPECIES","Ptyonoprogne rupestris (Scopoli, 1769)","Ptyonoprogne rupestris",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-07-03T00:00:00",3,7,2021,4408796,4408796,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1196073651",NA,"","","CC_BY_4_0","","obsr112627",NA,NA,"2023-06-07 15:15:58","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3532755645,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1263518324","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Ptyonoprogne","Ptyonoprogne rupestris",NA,"SPECIES","Ptyonoprogne rupestris (Scopoli, 1769)","Ptyonoprogne rupestris",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-05-02T00:00:00",2,5,2021,4408796,4408796,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1263518324",NA,"","","CC_BY_4_0","","obsr2811114",NA,NA,"2023-06-07 15:31:51","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3456181821,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/73385223","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Ptyonoprogne","Ptyonoprogne rupestris",NA,"SPECIES","Ptyonoprogne rupestris (Scopoli, 1769)","Ptyonoprogne rupestris",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.17031,9.37625,36,NA,NA,NA,NA,NA,"2021-04-05T10:08:00",5,4,2021,4408796,4408796,"HUMAN_OBSERVATION","iNaturalist","Observations","73385223",NA,"Claudio Foglini","2021-04-09T13:29:46","CC_BY_NC_4_0","Claudio Foglini","Claudio Foglini",NA,NA,"2023-06-21 11:17:25","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.37625 46.17031)"
3287151888,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1045890626","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Ptyonoprogne","Ptyonoprogne rupestris",NA,"SPECIES","Ptyonoprogne rupestris (Scopoli, 1769)","Ptyonoprogne rupestris",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2020-08-11T00:00:00",11,8,2020,4408796,4408796,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1045890626",NA,"","","CC_BY_4_0","","obsr1608464",NA,NA,"2023-06-07 15:14:33","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3079696219,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/73335751","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Ptyonoprogne","Ptyonoprogne rupestris",NA,"SPECIES","Ptyonoprogne rupestris (Scopoli, 1769)","Ptyonoprogne rupestris",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.15091,9.38508,15,NA,NA,NA,NA,NA,"2021-04-08T09:38:00",8,4,2021,4408796,4408796,"HUMAN_OBSERVATION","iNaturalist","Observations","73335751",NA,"Roberto Brembilla","2021-04-08T21:27:57","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-21 11:06:51","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.38508 46.15091)"
3059058972,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/70989370","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Ptyonoprogne","Ptyonoprogne rupestris",NA,"SPECIES","Ptyonoprogne rupestris (Scopoli, 1769)","Ptyonoprogne rupestris",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.14984,9.38914,8,NA,NA,NA,NA,NA,"2021-03-09T10:59:00",9,3,2021,4408796,4408796,"HUMAN_OBSERVATION","iNaturalist","Observations","70989370",NA,"Roberto Brembilla","2021-03-11T07:52:28","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-21 11:06:43","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.38914 46.14984)"
2231622955,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS684545667","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Ptyonoprogne","Ptyonoprogne rupestris",NA,"SPECIES","Ptyonoprogne rupestris (Scopoli, 1769)","Ptyonoprogne rupestris",NA,"IT","Pian di Spagna","Lombardia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.16102,9.38803,NA,NA,NA,NA,NA,NA,"2014-04-13T00:00:00",13,4,2014,4408796,4408796,"HUMAN_OBSERVATION","CLO","EBIRD","OBS684545667",NA,"","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:22:57","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.38803 46.16102)"
1765420583,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS434250876","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Ptyonoprogne","Ptyonoprogne rupestris",NA,"SPECIES","Ptyonoprogne rupestris (Scopoli, 1769)","Ptyonoprogne rupestris",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2016-08-12T00:00:00",12,8,2016,4408796,4408796,"HUMAN_OBSERVATION","CLO","EBIRD","OBS434250876",NA,"","","CC_BY_4_0","","obsr112627",NA,NA,"2023-06-07 15:05:16","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
