"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
2801894616,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS827128722","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","Rallus aquaticus","","SPECIES","Rallus aquaticus Linnaeus, 1758","Rallus aquaticus",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2019-11-11T00:00:00",11,11,2019,2474831,2474831,"HUMAN_OBSERVATION","CLO","EBIRD","OBS827128722",NA,"","","CC_BY_4_0","","obsr532432",NA,NA,"2023-06-07 15:10:58","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2746922979,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS718450036","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","Rallus aquaticus","","SPECIES","Rallus aquaticus Linnaeus, 1758","Rallus aquaticus",NA,"IT","36.804956,15.096054","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80496,15.09605,NA,NA,NA,NA,NA,NA,"2016-09-08T00:00:00",8,9,2016,2474831,2474831,"HUMAN_OBSERVATION","CLO","EBIRD","OBS718450036",NA,"","","CC_BY_4_0","","obsr1198275",NA,NA,"2023-06-07 15:25:20","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09605 36.80496)"
2741185114,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS718451833","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","Rallus aquaticus","","SPECIES","Rallus aquaticus Linnaeus, 1758","Rallus aquaticus",NA,"IT","36.7802448220567,15.0955711684584","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.78024,15.09557,NA,NA,NA,NA,NA,NA,"2018-11-26T00:00:00",26,11,2018,2474831,2474831,"HUMAN_OBSERVATION","CLO","EBIRD","OBS718451833",NA,"","","CC_BY_4_0","","obsr1198275",NA,NA,"2023-06-07 15:24:18","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09557 36.78024)"
2720914754,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS826752327","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","Rallus aquaticus","","SPECIES","Rallus aquaticus Linnaeus, 1758","Rallus aquaticus",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2019-11-11T00:00:00",11,11,2019,2474831,2474831,"HUMAN_OBSERVATION","CLO","EBIRD","OBS826752327",NA,"","","CC_BY_4_0","","obsr336394",NA,NA,"2023-06-07 15:31:42","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2707895487,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS827128761","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","Rallus aquaticus","","SPECIES","Rallus aquaticus Linnaeus, 1758","Rallus aquaticus",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2019-11-11T00:00:00",11,11,2019,2474831,2474831,"HUMAN_OBSERVATION","CLO","EBIRD","OBS827128761",NA,"","","CC_BY_4_0","","obsr505871",NA,NA,"2023-06-07 15:10:36","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2674825224,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS718451781","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","Rallus aquaticus","","SPECIES","Rallus aquaticus Linnaeus, 1758","Rallus aquaticus",NA,"IT","36.7802532497361,15.0843647815255","Sicilia","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.78025,15.08436,NA,NA,NA,NA,NA,NA,"2018-11-26T00:00:00",26,11,2018,2474831,2474831,"HUMAN_OBSERVATION","CLO","EBIRD","OBS718451781",NA,"","","CC_BY_4_0","","obsr1198275",NA,NA,"2023-06-07 15:09:29","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.08436 36.78025)"
2213583797,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS660843620","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","Rallus aquaticus","","SPECIES","Rallus aquaticus Linnaeus, 1758","Rallus aquaticus",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2018-09-27T00:00:00",27,9,2018,2474831,2474831,"HUMAN_OBSERVATION","CLO","EBIRD","OBS660843620",NA,"","","CC_BY_4_0","","obsr535218",NA,NA,"2023-06-07 15:23:15","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2113813010,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS560776423","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","Rallus aquaticus","","SPECIES","Rallus aquaticus Linnaeus, 1758","Rallus aquaticus",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2015-10-14T00:00:00",14,10,2015,2474831,2474831,"HUMAN_OBSERVATION","CLO","EBIRD","OBS560776423",NA,"","","CC_BY_4_0","","obsr23890",NA,NA,"2023-06-07 15:06:39","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
1392732674,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS348561655","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","Rallus aquaticus","","SPECIES","Rallus aquaticus Linnaeus, 1758","Rallus aquaticus",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2015-10-14T00:00:00",14,10,2015,2474831,2474831,"HUMAN_OBSERVATION","CLO","EBIRD","OBS348561655",NA,"","","CC_BY_4_0","","obsr234832",NA,NA,"2023-06-07 15:04:41","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
1177511942,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS260519058","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","Rallus aquaticus","","SPECIES","Rallus aquaticus Linnaeus, 1758","Rallus aquaticus",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2014-05-21T00:00:00",21,5,2014,2474831,2474831,"HUMAN_OBSERVATION","CLO","EBIRD","OBS260519058",NA,"","","CC_BY_4_0","","obsr351262",NA,NA,"2023-06-07 15:03:10","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
