"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4130030805,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/165684170","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia","","SPECIES","Riparia riparia (Linnaeus, 1758)","Riparia riparia","","CH","","Ticino","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.125531,8.988803,27063,NA,NA,NA,NA,NA,"2023-05-17T08:45:00",17,5,2023,2489160,2489160,"HUMAN_OBSERVATION","iNaturalist","Observations","165684170",NA,"roby","2023-06-05T08:54:08","CC_BY_NC_4_0","roby","roby",NA,NA,2023-06-14 09:56:26,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4126953273,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/163793080","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia","","SPECIES","Riparia riparia (Linnaeus, 1758)","Riparia riparia","","IT","","Piemonte","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.931481,7.680646,NA,NA,NA,NA,NA,NA,"2023-05-26T11:07:00",26,5,2023,2489160,2489160,"HUMAN_OBSERVATION","iNaturalist","Observations","163793080",NA,"Alberto Tamietti","2023-05-26T11:17:53","CC_BY_NC_4_0","Alberto Tamietti","Alberto Tamietti",NA,NA,2023-06-14 10:13:48,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4126911420,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/163793081","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia","","SPECIES","Riparia riparia (Linnaeus, 1758)","Riparia riparia","","IT","","Piemonte","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.958265,7.694263,NA,NA,NA,NA,NA,NA,"2023-05-26T11:54:00",26,5,2023,2489160,2489160,"HUMAN_OBSERVATION","iNaturalist","Observations","163793081",NA,"Alberto Tamietti","2023-05-26T11:17:54","CC_BY_NC_4_0","Alberto Tamietti","Alberto Tamietti",NA,NA,2023-06-14 10:14:25,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4126848229,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/163793079","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia","","SPECIES","Riparia riparia (Linnaeus, 1758)","Riparia riparia","","IT","","Piemonte","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.868092,7.679606,35,NA,NA,NA,NA,NA,"2023-05-23T11:26:00",23,5,2023,2489160,2489160,"HUMAN_OBSERVATION","iNaturalist","Observations","163793079",NA,"Alberto Tamietti","2023-05-26T11:17:53","CC_BY_NC_4_0","Alberto Tamietti","Alberto Tamietti",NA,NA,2023-06-14 10:14:41,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4121143705,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/163298933","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia","","SPECIES","Riparia riparia (Linnaeus, 1758)","Riparia riparia","","IT","","Piemonte","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.891564,7.633696,27253,NA,NA,NA,NA,NA,"2023-05-23T11:35:00",23,5,2023,2489160,2489160,"HUMAN_OBSERVATION","iNaturalist","Observations","163298933",NA,"fabnobili","2023-05-23T13:01:47","CC_BY_NC_4_0","fabnobili","fabnobili",NA,NA,2023-06-14 09:55:33,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4112074880,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/159372493","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia","","SPECIES","Riparia riparia (Linnaeus, 1758)","Riparia riparia","","AT","","Tirol","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",47.286412,11.533313,7490,NA,NA,NA,NA,NA,"2023-04-29T08:44:00",29,4,2023,2489160,2489160,"HUMAN_OBSERVATION","iNaturalist","Observations","159372493",NA,"Mika Tomta","2023-05-03T08:36:09","CC_BY_NC_4_0","Mario Baldauf","Mario Baldauf",NA,NA,2023-06-14 09:55:04,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4111838070,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/160627332","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia","","SPECIES","Riparia riparia (Linnaeus, 1758)","Riparia riparia","","HU","","Pest","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",47.151437,19.168267,15,NA,NA,NA,NA,NA,"2023-05-07T16:30:00",7,5,2023,2489160,2489160,"HUMAN_OBSERVATION","iNaturalist","Observations","160627332",NA,"Attila Steiner","2023-05-08T20:37:37","CC_BY_NC_4_0","Attila Steiner","Attila Steiner",NA,NA,2023-06-14 10:14:35,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4103434417,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/158851871","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia","","SPECIES","Riparia riparia (Linnaeus, 1758)","Riparia riparia","","IT","","Piemonte","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.792945,7.66343,186,NA,NA,NA,NA,NA,"2023-05-01T17:54:00",1,5,2023,2489160,2489160,"HUMAN_OBSERVATION","iNaturalist","Observations","158851871",NA,"Eugenio Martina","2023-05-01T20:53:23","CC_BY_NC_4_0","Eugenio Martina","Eugenio Martina",NA,NA,2023-06-14 10:14:26,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4102562867,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/156874869","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia","","SPECIES","Riparia riparia (Linnaeus, 1758)","Riparia riparia","","IT","","Piemonte","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.86411,7.673043,NA,NA,NA,NA,NA,NA,"2023-04-27T11:02:00",27,4,2023,2489160,2489160,"HUMAN_OBSERVATION","iNaturalist","Observations","156874869",NA,"Alberto Tamietti","2023-04-27T12:25:07","CC_BY_NC_4_0","Alberto Tamietti","Alberto Tamietti",NA,NA,2023-06-14 10:13:57,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4096894720,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/156560208","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia","","SPECIES","Riparia riparia (Linnaeus, 1758)","Riparia riparia","","CH","","Vaud","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.866313,7.079138,26935,NA,NA,NA,NA,NA,"2023-04-22T17:40:00",22,4,2023,2489160,2489160,"HUMAN_OBSERVATION","iNaturalist","Observations","156560208",NA,"criptas","2023-04-25T11:34:08","CC_BY_4_0","Codrin Bucur","Codrin Bucur",NA,NA,2023-06-14 10:12:41,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
