"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3760294862,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/111310459","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","Serinus serinus",NA,"SPECIES","Serinus serinus (Linnaeus, 1766)","Serinus serinus",NA,"IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.80311,15.09559,NA,NA,NA,NA,NA,NA,"2019-04-22T12:45:00",22,4,2019,2494200,2494200,"HUMAN_OBSERVATION","iNaturalist","Observations","111310459",NA,"Luca Boscain","2022-04-13T14:58:17","CC_BY_NC_4_0","Luca Boscain","Luca Boscain",NA,"","2023-06-14 10:08:37","StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09559 36.80311)"
3721205628,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/217028635","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","Serinus serinus",NA,"SPECIES","Serinus serinus (Linnaeus, 1766)","Serinus serinus",NA,"IT","Italy - Noto (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.80526,15.092,38,NA,NA,NA,NA,NA,"2021-06-14T00:00:00",14,6,2021,2494200,2494200,"HUMAN_OBSERVATION","","Observations","OBS.217028635",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 246286",NA,"","2023-06-13 15:59:46","StillImage","CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.092 36.80526)"
3715900456,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/168278665","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","Serinus serinus",NA,"SPECIES","Serinus serinus (Linnaeus, 1766)","Serinus serinus",NA,"IT","Italy - Noto (comuni)","","PRESENT",6,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.84127,15.0992,25,NA,NA,NA,NA,NA,"2019-03-04T00:00:00",4,3,2019,2494200,2494200,"HUMAN_OBSERVATION","","Observations","OBS.168278665",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 86675",NA,"","2023-06-13 15:59:38","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.0992 36.84127)"
3209173013,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1048570728","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","Serinus serinus",NA,"SPECIES","Serinus serinus (Linnaeus, 1766)","Serinus serinus",NA,"IT","36.825318140675,15.0956255544499","Sicilia","PRESENT",250,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.82532,15.09563,NA,NA,NA,NA,NA,NA,"2020-11-07T00:00:00",7,11,2020,2494200,2494200,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1048570728",NA,"","","CC_BY_4_0","","obsr1198275",NA,"","2023-06-07 15:42:55","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09563 36.82532)"
3204442745,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1048570676","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","Serinus serinus",NA,"SPECIES","Serinus serinus (Linnaeus, 1766)","Serinus serinus",NA,"IT","36.8072888316417,15.0956033417509","Sicilia","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80729,15.0956,NA,NA,NA,NA,NA,NA,"2020-11-07T00:00:00",7,11,2020,2494200,2494200,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1048570676",NA,"","","CC_BY_4_0","","obsr1198275",NA,"","2023-06-07 15:28:31","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.0956 36.80729)"
2789696654,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS864705153","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","Serinus serinus",NA,"SPECIES","Serinus serinus (Linnaeus, 1766)","Serinus serinus",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2014-05-03T00:00:00",3,5,2014,2494200,2494200,"HUMAN_OBSERVATION","CLO","EBIRD","OBS864705153",NA,"","","CC_BY_4_0","","obsr416326",NA,"","2023-06-07 15:30:07","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2755839156,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS738472249","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","Serinus serinus",NA,"SPECIES","Serinus serinus (Linnaeus, 1766)","Serinus serinus",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2019-04-14T00:00:00",14,4,2019,2494200,2494200,"HUMAN_OBSERVATION","CLO","EBIRD","OBS738472249",NA,"","","CC_BY_4_0","","obsr931837",NA,"","2023-06-07 15:09:32","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2750310833,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS740915104","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","Serinus serinus",NA,"SPECIES","Serinus serinus (Linnaeus, 1766)","Serinus serinus",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2017-05-01T00:00:00",1,5,2017,2494200,2494200,"HUMAN_OBSERVATION","CLO","EBIRD","OBS740915104",NA,"","","CC_BY_4_0","","obsr1240819",NA,"","2023-06-07 15:09:05","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2748964541,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS747883644","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","Serinus serinus",NA,"SPECIES","Serinus serinus (Linnaeus, 1766)","Serinus serinus",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2019-04-21T00:00:00",21,4,2019,2494200,2494200,"HUMAN_OBSERVATION","CLO","EBIRD","OBS747883644",NA,"","","CC_BY_4_0","","obsr516650",NA,"","2023-06-07 15:09:00","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2746809163,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS718437368","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","Serinus serinus",NA,"SPECIES","Serinus serinus (Linnaeus, 1766)","Serinus serinus",NA,"IT","36.810004,15.100172","Sicilia","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.81,15.10017,NA,NA,NA,NA,NA,NA,"2015-04-18T00:00:00",18,4,2015,2494200,2494200,"HUMAN_OBSERVATION","CLO","EBIRD","OBS718437368",NA,"","","CC_BY_4_0","","obsr1198275",NA,"","2023-06-07 15:08:27","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.10017 36.81)"
