"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3997269435,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/255615912","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas clypeata",NA,"SPECIES","Spatula clypeata (Linnaeus, 1758)","Spatula clypeata",NA,"IT","Italy - Noto (comuni)","","PRESENT",3,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.79216,15.09201,38,NA,NA,NA,NA,NA,"2022-09-25T00:00:00",25,9,2022,8332393,2498089,"HUMAN_OBSERVATION","","Observations","OBS.255615912",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 162200",NA,NA,"2023-06-13 16:00:26","StillImage","CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09201 36.79216)"
3554228143,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1295626267","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas clypeata",NA,"SPECIES","Spatula clypeata (Linnaeus, 1758)","Spatula clypeata",NA,"IT","Riserva Naturale Oasi Faunistica Vendicari, Noto IT-Sicily (36.8041,15.0934)","Sicilia","PRESENT",8,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80409,15.09339,NA,NA,NA,NA,NA,NA,"2021-12-14T00:00:00",14,12,2021,8332393,2498089,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1295626267",NA,"","","CC_BY_4_0","","obsr1218083",NA,NA,"2023-06-07 15:29:29","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09339 36.80409)"
3464439316,"b1047888-ae52-4179-9dd5-5448ea342a24","https://data.biodiversitydata.nl/xeno-canto/observation/XC696518","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas clypeata",NA,"SPECIES","Spatula clypeata (Linnaeus, 1758)","Spatula clypeata",NA,"IT","Riserva naturale orientata Oasi Faunistica di Vendicari, Provincia di Siracusa, Sicilia","","PRESENT",NA,"1f00d75c-f6fc-4224-a595-975e82d7689c",36.7986,15.093,NA,NA,NA,NA,NA,NA,"2022-01-06T00:00:00",6,1,2022,8332393,2498089,"HUMAN_OBSERVATION","","Wildlife sounds - Birds","XC696518",NA,"","","CC_BY_NC_4_0","Romuald Mikusek","Romuald Mikusek",NA,NA,"2023-06-07 21:04:05","Sound;StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.093 36.7986)"
3464432315,"b1047888-ae52-4179-9dd5-5448ea342a24","https://data.biodiversitydata.nl/xeno-canto/observation/XC696527","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas clypeata",NA,"SPECIES","Spatula clypeata (Linnaeus, 1758)","Spatula clypeata",NA,"IT","Riserva naturale orientata Oasi Faunistica di Vendicari, Provincia di Siracusa, Sicilia","","PRESENT",NA,"1f00d75c-f6fc-4224-a595-975e82d7689c",36.7986,15.093,NA,NA,NA,NA,NA,NA,"2022-01-06T00:00:00",6,1,2022,8332393,2498089,"HUMAN_OBSERVATION","","Wildlife sounds - Birds","XC696527",NA,"","","CC_BY_NC_4_0","Romuald Mikusek","Romuald Mikusek",NA,NA,"2023-06-07 21:04:35","Sound;StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.093 36.7986)"
3300571026,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS972109842","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas clypeata",NA,"SPECIES","Spatula clypeata (Linnaeus, 1758)","Spatula clypeata",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2019-11-13T00:00:00",13,11,2019,8332393,2498089,"HUMAN_OBSERVATION","CLO","EBIRD","OBS972109842",NA,"","","CC_BY_4_0","","obsr514376",NA,NA,"2023-06-07 15:11:54","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
3261313341,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS941230155","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas clypeata",NA,"SPECIES","Spatula clypeata (Linnaeus, 1758)","Spatula clypeata",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2016-11-27T00:00:00",27,11,2016,8332393,2498089,"HUMAN_OBSERVATION","CLO","EBIRD","OBS941230155",NA,"","","CC_BY_4_0","","obsr1334401",NA,NA,"2023-06-07 15:26:16","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
3216206348,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1044115527","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas clypeata",NA,"SPECIES","Spatula clypeata (Linnaeus, 1758)","Spatula clypeata",NA,"IT","Oasi di Vendicari","Sicilia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80794,15.105,NA,NA,NA,NA,NA,NA,"2020-11-01T00:00:00",1,11,2020,8332393,2498089,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1044115527",NA,"","","CC_BY_4_0","","obsr1090608",NA,NA,"2023-06-07 15:13:53","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.105 36.80794)"
3214581084,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1048570749","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas clypeata",NA,"SPECIES","Spatula clypeata (Linnaeus, 1758)","Spatula clypeata",NA,"IT","36.807279306402,15.1068135009978","Sicilia","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80728,15.10681,NA,NA,NA,NA,NA,NA,"2020-11-07T00:00:00",7,11,2020,8332393,2498089,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1048570749",NA,"","","CC_BY_4_0","","obsr1198275",NA,NA,"2023-06-07 15:13:08","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.10681 36.80728)"
2800082085,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS793208780","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas clypeata",NA,"SPECIES","Spatula clypeata (Linnaeus, 1758)","Spatula clypeata",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2016-11-26T00:00:00",26,11,2016,8332393,2498089,"HUMAN_OBSERVATION","CLO","EBIRD","OBS793208780",NA,"","","CC_BY_4_0","","obsr1334401",NA,NA,"2023-06-07 15:27:54","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2799040335,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS827128719","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas clypeata",NA,"SPECIES","Spatula clypeata (Linnaeus, 1758)","Spatula clypeata",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",50,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2019-11-11T00:00:00",11,11,2019,8332393,2498089,"HUMAN_OBSERVATION","CLO","EBIRD","OBS827128719",NA,"","","CC_BY_4_0","","obsr532432",NA,NA,"2023-06-07 15:26:46","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
