"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4111796589,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/158033460","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes italicus",NA,"SPECIES","Speleomantes italicus (Dunn, 1923)","Speleomantes italicus",NA,"IT","","Abruzzo","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.771414,13.77198,27599,NA,NA,NA,NA,NA,"2023-04-28T14:51:00",28,4,2023,2431456,2431456,"HUMAN_OBSERVATION","iNaturalist","Observations","158033460",NA,"Emanuele Santarelli","2023-04-30T10:57:13","CC_BY_NC_4_0","Emanuele Santarelli","Emanuele Santarelli",NA,NA,2023-06-21 11:11:41,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4111566590,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/158033459","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes italicus",NA,"SPECIES","Speleomantes italicus (Dunn, 1923)","Speleomantes italicus",NA,"IT","","Abruzzo","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.717196,13.795368,27599,NA,NA,NA,NA,NA,"2023-04-28T14:42:00",28,4,2023,2431456,2431456,"HUMAN_OBSERVATION","iNaturalist","Observations","158033459",NA,"Emanuele Santarelli","2023-04-30T10:57:13","CC_BY_NC_4_0","Emanuele Santarelli","Emanuele Santarelli",NA,NA,2023-06-21 11:12:35,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4076222995,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/151816145","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes italicus",NA,"SPECIES","Speleomantes italicus (Dunn, 1923)","Speleomantes italicus",NA,"IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.908182,10.598365,27411,NA,NA,NA,NA,NA,"2023-03-16T15:28:49",16,3,2023,2431456,2431456,"HUMAN_OBSERVATION","iNaturalist","Observations","151816145",NA,"n_bonassin","2023-03-21T10:40:32","CC_BY_NC_4_0","n_bonassin","n_bonassin",NA,NA,2023-06-21 11:11:27,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4075743546,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/93569845","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes italicus",NA,"SPECIES","Speleomantes italicus (Dunn, 1923)","Speleomantes italicus",NA,"IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.967311,10.532073,551,NA,NA,NA,NA,NA,"2021-09-04T10:32:29",4,9,2021,2431456,2431456,"HUMAN_OBSERVATION","iNaturalist","Observations","93569845",NA,"Raffaele Maiorano","2021-09-04T11:22:30","CC0_1_0","Raffaele Maiorano","Raffaele Maiorano",NA,NA,2023-06-21 11:08:15,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4075690562,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/99465721","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes italicus",NA,"SPECIES","Speleomantes italicus (Dunn, 1923)","Speleomantes italicus",NA,"IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.929044,10.498878,27411,NA,NA,NA,NA,NA,"2021-10-26T11:51:21",26,10,2021,2431456,2431456,"HUMAN_OBSERVATION","iNaturalist","Observations","99465721",NA,"Raffaele Maiorano","2021-10-26T15:57:55","CC0_1_0","Raffaele Maiorano","Raffaele Maiorano",NA,NA,2023-06-21 11:20:59,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4075575445,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/63718731","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes italicus",NA,"SPECIES","Speleomantes italicus (Dunn, 1923)","Speleomantes italicus",NA,"IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.857656,10.402221,181,NA,NA,NA,NA,NA,"2020-10-28T10:39:16",28,10,2020,2431456,2431456,"HUMAN_OBSERVATION","iNaturalist","Observations","63718731",NA,"Raffaele Maiorano","2020-10-28T19:45:19","CC0_1_0","Raffaele Maiorano","Raffaele Maiorano",NA,NA,2023-06-21 11:06:09,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4054974174,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/150405190","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes italicus",NA,"SPECIES","Speleomantes italicus (Dunn, 1923)","Speleomantes italicus",NA,"IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.814427,11.283496,27411,NA,NA,NA,NA,NA,"2023-02-16T22:58:10",16,2,2023,2431456,2431456,"HUMAN_OBSERVATION","iNaturalist","Observations","150405190",NA,"Nicolò Seglie","2023-03-06T13:33:26","CC_BY_NC_4_0","Nicolò Seglie","Nicolò Seglie",NA,NA,2023-06-21 11:23:33,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4039267151,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/149065794","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes italicus",NA,"SPECIES","Speleomantes italicus (Dunn, 1923)","Speleomantes italicus",NA,"IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.880545,11.233649,27411,NA,NA,NA,NA,NA,"2023-02-16T23:14:00",16,2,2023,2431456,2431456,"HUMAN_OBSERVATION","iNaturalist","Observations","149065794",NA,"Giacomo Bruni","2023-02-18T19:58:04","CC_BY_NC_4_0","Giacomo Bruni","Giacomo Bruni",NA,NA,2023-06-21 11:12:06,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4039204234,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/148930576","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes italicus",NA,"SPECIES","Speleomantes italicus (Dunn, 1923)","Speleomantes italicus",NA,"IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.90691,11.217584,27411,NA,NA,NA,NA,NA,"2023-02-16T23:11:58",16,2,2023,2431456,2431456,"HUMAN_OBSERVATION","iNaturalist","Observations","148930576",NA,"Daniele Seglie","2023-02-16T23:06:44","CC_BY_NC_4_0","Daniele Seglie","Daniele Seglie",NA,NA,2023-06-21 11:11:21,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4039187227,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/148930586","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes italicus",NA,"SPECIES","Speleomantes italicus (Dunn, 1923)","Speleomantes italicus",NA,"IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.892541,11.385485,27411,NA,NA,NA,NA,NA,"2023-02-17T00:03:39",17,2,2023,2431456,2431456,"HUMAN_OBSERVATION","iNaturalist","Observations","148930586",NA,"Daniele Seglie","2023-02-16T23:07:03","CC_BY_NC_4_0","Daniele Seglie","Daniele Seglie",NA,NA,2023-06-21 11:22:01,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
