"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3690515745,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1305140886","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale Nazzano Tevere-Farfa--EST (Fattoria Didattica, La Mola)","Lazio","PRESENT",200,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21409,12.60738,NA,NA,NA,NA,NA,NA,"2021-12-29T00:00:00",29,12,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1305140886","","","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:15:13","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60738 42.21409)"
3662760620,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1082252574","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2021-02-25T00:00:00",25,2,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1082252574","","","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:13:25","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
3641941339,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1153577416","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2021-05-13T00:00:00",13,5,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1153577416","","","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:28:28","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
3607740327,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1099804549","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",9,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2021-03-21T00:00:00",21,3,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1099804549","","","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:13:22","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
3594510093,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1139109895","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale Nazzano Tevere-Farfa--EST (Fattoria Didattica, La Mola)","Lazio","PRESENT",6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21409,12.60738,NA,NA,NA,NA,NA,NA,"2021-05-02T00:00:00",2,5,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1139109895","","","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:28:53","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60738 42.21409)"
3570444917,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1241892698","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",8,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2021-09-22T00:00:00",22,9,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1241892698","","","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:15:06","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
3551464196,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1070803283","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",100,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2021-02-12T00:00:00",12,2,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1070803283","","","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:12:49","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
3551065727,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1283527311","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale Nazzano Tevere-Farfa--SUD (Meana, parcheggio)","Lazio","PRESENT",20,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.20592,12.60766,NA,NA,NA,NA,NA,NA,"2021-11-25T00:00:00",25,11,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1283527311","","","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:35:16","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60766 42.20592)"
3550685735,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1145943707","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1145943707","","","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:31:39","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
3519574626,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1082211075","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2021-02-25T00:00:00",25,2,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1082211075","","","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:29:21","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
