"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3599434894,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1172250083","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Salina di Cervia","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.25418,12.33396,NA,NA,NA,NA,NA,NA,"2021-05-30T00:00:00",30,5,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1172250083","","","","CC_BY_4_0","","obsr1108502",NA,NA,"2023-06-07 15:15:41","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.33396 44.25418)"
3571645446,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1171835170","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Salina di Cervia","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.25418,12.33396,NA,NA,NA,NA,NA,NA,"2021-05-30T00:00:00",30,5,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1171835170","","","","CC_BY_4_0","","obsr819422",NA,NA,"2023-06-07 15:14:24","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.33396 44.25418)"
3562317424,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1179473597","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Salina di Cervia","Emilia-Romagna","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.25418,12.33396,NA,NA,NA,NA,NA,NA,"2021-06-10T00:00:00",10,6,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1179473597","","","","CC_BY_4_0","","obsr1057387",NA,NA,"2023-06-07 15:31:15","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.33396 44.25418)"
3526517261,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1171121401","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Salina di Cervia","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.25418,12.33396,NA,NA,NA,NA,NA,NA,"2021-05-30T00:00:00",30,5,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1171121401","","","","CC_BY_4_0","","obsr668799",NA,NA,"2023-06-07 15:29:15","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.33396 44.25418)"
3288247956,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1098182984","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Salina di Cervia","Emilia-Romagna","PRESENT",12,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.25418,12.33396,NA,NA,NA,NA,NA,NA,"2018-05-26T00:00:00",26,5,2018,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1098182984","","","","CC_BY_4_0","","obsr960988",NA,NA,"2023-06-07 15:30:38","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.33396 44.25418)"
3284823936,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS996978779","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Salina di Cervia","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.25418,12.33396,NA,NA,NA,NA,NA,NA,"2020-10-17T00:00:00",17,10,2020,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS996978779","","","","CC_BY_4_0","","obsr1470205",NA,NA,"2023-06-07 15:12:56","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.33396 44.25418)"
3189549943,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1000941920","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Salina di Cervia","Emilia-Romagna","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.25418,12.33396,NA,NA,NA,NA,NA,NA,"2018-04-21T00:00:00",21,4,2018,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1000941920","","","","CC_BY_4_0","","obsr960988",NA,NA,"2023-06-07 15:32:36","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.33396 44.25418)"
3187208782,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS996984884","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Salina di Cervia","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.25418,12.33396,NA,NA,NA,NA,NA,NA,"2020-10-17T00:00:00",17,10,2020,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS996984884","","","","CC_BY_4_0","","obsr1856155",NA,NA,"2023-06-07 15:13:09","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.33396 44.25418)"
2754468301,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS801783285","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Salina di Cervia","Emilia-Romagna","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.25418,12.33396,NA,NA,NA,NA,NA,NA,"2019-09-05T00:00:00",5,9,2019,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS801783285","","","","CC_BY_4_0","","obsr1044559",NA,NA,"2023-06-07 15:31:15","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.33396 44.25418)"
2224349066,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS683478730","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Salina di Cervia","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.25418,12.33396,NA,NA,NA,NA,NA,NA,"2018-05-26T00:00:00",26,5,2018,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS683478730","","","","CC_BY_4_0","","obsr960988",NA,NA,"2023-06-07 15:08:04","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.33396 44.25418)"
