"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3907603348,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/251792700","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Italy - RNR della Valle Cavanata","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",45.71781,13.4651,9,NA,NA,NA,NA,NA,"2022-08-07T00:00:00",7,8,2022,9809229,9809229,"HUMAN_OBSERVATION","","Observations","OBS.251792700","","","","CC_BY_NC_4_0","Stichting Observation International","User 92396",NA,NA,"2023-06-13 15:57:59","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (13.4651 45.71781)"
3732016603,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/224766241","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Italy - RNR della Valle Cavanata","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",45.71586,13.46658,15,NA,NA,NA,NA,NA,"2021-08-01T00:00:00",1,8,2021,9809229,9809229,"HUMAN_OBSERVATION","","Observations","OBS.224766241","","","","CC_BY_NC_4_0","Stichting Observation International","User 199062",NA,NA,"2023-06-13 15:59:47","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (13.46658 45.71586)"
3725968445,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/177202031","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Italy - Grado (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",45.71834,13.47298,45,NA,NA,NA,NA,NA,"2019-07-30T00:00:00",30,7,2019,9809229,9809229,"HUMAN_OBSERVATION","","Observations","OBS.177202031","","","","CC_BY_NC_4_0","Stichting Observation International","User 77241",NA,NA,"2023-06-13 15:57:10","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (13.47298 45.71834)"
3680833654,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1263470063","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale della Valle Cavanata","Friuli-Venezia Giulia","PRESENT",20,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71981,13.47294,NA,NA,NA,NA,NA,NA,"2021-10-17T00:00:00",17,10,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1263470063","","","","CC_BY_4_0","","obsr657243",NA,NA,"2023-06-07 15:31:09","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.47294 45.71981)"
3650698956,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1281215758","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale della Valle Cavanata","Friuli-Venezia Giulia","PRESENT",25,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71981,13.47294,NA,NA,NA,NA,NA,NA,"2021-11-21T00:00:00",21,11,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1281215758","","","","CC_BY_4_0","","obsr2730422",NA,NA,"2023-06-07 15:14:59","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.47294 45.71981)"
3624232914,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1264208038","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale della Valle Cavanata","Friuli-Venezia Giulia","PRESENT",20,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71981,13.47294,NA,NA,NA,NA,NA,NA,"2021-10-17T00:00:00",17,10,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1264208038","","","","CC_BY_4_0","","obsr960036",NA,NA,"2023-06-07 15:31:15","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.47294 45.71981)"
3602221640,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1191510634","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Grado, Friaul-Julisch Venetien, IT (45,712, 13,467)","Friuli-Venezia Giulia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71202,13.46701,NA,NA,NA,NA,NA,NA,"2021-06-28T00:00:00",28,6,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1191510634","","","","CC_BY_4_0","","obsr1778866",NA,NA,"2023-06-07 15:27:56","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.46701 45.71202)"
3545207094,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1260600494","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale della Valle Cavanata","Friuli-Venezia Giulia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71981,13.47294,NA,NA,NA,NA,NA,NA,"2021-10-17T00:00:00",17,10,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1260600494","","","","CC_BY_4_0","","obsr810336",NA,NA,"2023-06-07 15:15:04","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.47294 45.71981)"
3268621941,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS984526722","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Grado, Osservatorio avifaunistico Sabbia, IT (45.718, 13.465)","Friuli-Venezia Giulia","PRESENT",20,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71783,13.46511,NA,NA,NA,NA,NA,NA,"2020-09-21T00:00:00",21,9,2020,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS984526722","","","","CC_BY_4_0","","obsr1461565",NA,NA,"2023-06-07 15:13:52","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.46511 45.71783)"
3248809819,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS983223848","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","IT","Riserva Naturale della Valle Cavanata","Friuli-Venezia Giulia","PRESENT",500,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71981,13.47294,NA,NA,NA,NA,NA,NA,"2020-09-19T00:00:00",19,9,2020,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS983223848","","","","CC_BY_4_0","","obsr1190181",NA,NA,"2023-06-07 15:27:55","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.47294 45.71981)"
