"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3680361504,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1258989686","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Laguna di Orbetello, Oasi WWF (9:30-13:30, wkends only, 1 Sept.-1 May)","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48605,11.20517,NA,NA,NA,NA,NA,NA,"2021-10-16T00:00:00",16,10,2021,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1258989686",NA,"","","CC_BY_4_0","","obsr554964",NA,"","2023-06-07 15:31:06","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.20517 42.48605)"
3639714932,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1218331708","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Oasi WWF Naturale di Orbetello","Toscana","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48382,11.21148,NA,NA,NA,NA,NA,NA,"2021-08-15T00:00:00",15,8,2021,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1218331708",NA,"","","CC_BY_4_0","","obsr1683716",NA,"","2023-06-07 15:35:40","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.21148 42.48382)"
3623588843,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1145993432","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Riserva Naturale Laguna di Orbetello di Ponente, Orbetello IT-Toscana 42.48352, 11.21109","Toscana","PRESENT",37,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48352,11.21109,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1145993432",NA,"","","CC_BY_4_0","","obsr448742",NA,"","2023-06-07 15:30:12","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.21109 42.48352)"
3586409921,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1294052778","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Bosco di Patanella","Toscana","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.46802,11.21598,NA,NA,NA,NA,NA,NA,"2021-12-12T00:00:00",12,12,2021,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1294052778",NA,"","","CC_BY_4_0","","obsr543051",NA,"","2023-06-07 15:15:07","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.21598 42.46802)"
3569326490,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1218357217","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Oasi WWF Naturale di Orbetello","Toscana","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48382,11.21148,NA,NA,NA,NA,NA,NA,"2021-08-15T00:00:00",15,8,2021,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1218357217",NA,"","","CC_BY_4_0","","obsr1901864",NA,"","2023-06-07 15:15:02","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.21148 42.48382)"
3557904690,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1179170634","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Oasi WWF Naturale di Orbetello","Toscana","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48382,11.21148,NA,NA,NA,NA,NA,NA,"2021-05-30T00:00:00",30,5,2021,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1179170634",NA,"","","CC_BY_4_0","","obsr1015512",NA,"","2023-06-07 15:15:48","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.21148 42.48382)"
3539507845,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1185334413","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Laguna di Orbetello, Oasi WWF (9:30-13:30, wkends only, 1 Sept.-1 May)","Toscana","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48605,11.20517,NA,NA,NA,NA,NA,NA,"2021-06-19T00:00:00",19,6,2021,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1185334413",NA,"","","CC_BY_4_0","","obsr960988",NA,"","2023-06-07 15:28:27","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.20517 42.48605)"
3529840385,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1243919701","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Oasi WWF Naturale di Orbetello","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48382,11.21148,NA,NA,NA,NA,NA,NA,"2021-09-25T00:00:00",25,9,2021,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1243919701",NA,"","","CC_BY_4_0","","obsr221425",NA,"","2023-06-07 15:16:27","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.21148 42.48382)"
3295207730,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1003035193","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Bosco di Patanella","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.46802,11.21598,NA,NA,NA,NA,NA,NA,"2018-06-03T00:00:00",3,6,2018,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1003035193",NA,"","","CC_BY_4_0","","obsr295236",NA,"","2023-06-07 15:27:14","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.21598 42.46802)"
3291213628,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1003035191","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Bosco di Patanella","Toscana","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.46802,11.21598,NA,NA,NA,NA,NA,NA,"2018-06-03T00:00:00",3,6,2018,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1003035191",NA,"","","CC_BY_4_0","","obsr295236",NA,"","2023-06-07 15:12:17","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.21598 42.46802)"
