"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3684195685,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1254338769","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-10-09T00:00:00",9,10,2021,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1254338769",NA,"","","CC_BY_4_0","","obsr608674",NA,"","2023-06-07 15:31:58","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3590467960,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1121715710","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-04-15T00:00:00",15,4,2021,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1121715710",NA,"","","CC_BY_4_0","","obsr608674",NA,"","2023-06-07 15:13:55","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3589754292,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1091078057","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-03-09T00:00:00",9,3,2021,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1091078057",NA,"","","CC_BY_4_0","","obsr608674",NA,"","2023-06-07 15:29:23","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3552523367,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1250022089","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-10-04T00:00:00",4,10,2021,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1250022089",NA,"","","CC_BY_4_0","","obsr608674",NA,"","2023-06-07 15:31:46","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3544947582,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1155877836","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-05-15T00:00:00",15,5,2021,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1155877836",NA,"","","CC_BY_4_0","","obsr608674",NA,"","2023-06-07 15:15:35","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3224011997,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS876090367","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2020-03-09T00:00:00",9,3,2020,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS876090367",NA,"","","CC_BY_4_0","","obsr608674",NA,"","2023-06-07 15:26:45","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3181118724,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS989202826","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2020-10-01T00:00:00",1,10,2020,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS989202826",NA,"","","CC_BY_4_0","","obsr608674",NA,"","2023-06-07 15:14:05","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3167471653,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS915787425","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2020-05-09T00:00:00",9,5,2020,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS915787425",NA,"","","CC_BY_4_0","","obsr608674",NA,"","2023-06-07 15:33:24","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
2777556836,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS764716081","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2019-05-23T00:00:00",23,5,2019,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS764716081",NA,"","","CC_BY_4_0","","obsr328880",NA,"","2023-06-07 15:09:45","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
2773561123,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS816752872","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","","SPECIES","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla","","IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2019-10-13T00:00:00",13,10,2019,2492956,2492956,"HUMAN_OBSERVATION","CLO","EBIRD","OBS816752872",NA,"","","CC_BY_4_0","","obsr980476",NA,"","2023-06-07 15:12:29","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
