"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4054781847,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/150158445","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.57071,11.832,1428,NA,NA,NA,NA,NA,"2023-03-03T14:20:00",3,3,2023,2480764,2480764,"HUMAN_OBSERVATION","iNaturalist","Observations","150158445",NA,"Valentina","2023-03-03T21:50:25","CC_BY_NC_4_0","Valentina","Valentina",NA,NA,"2023-06-14 10:13:01","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.832 44.57071)"
3683964593,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1254338787","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-10-09T00:00:00",9,10,2021,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1254338787",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:17:33","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3592315090,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1063862515","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-02-01T00:00:00",1,2,2021,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1063862515",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:28:52","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3579127103,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1274972823","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-11-10T00:00:00",10,11,2021,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1274972823",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:16:51","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3546397735,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1250022090","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-10-04T00:00:00",4,10,2021,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1250022090",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:29:34","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3198710907,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1028695232","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2020-12-14T00:00:00",14,12,2020,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1028695232",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:27:26","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
2743621829,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS721242667","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2019-03-07T00:00:00",7,3,2019,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS721242667",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:28:01","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
2733880841,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS731692920","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2019-03-31T00:00:00",31,3,2019,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS731692920",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:24:51","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
2708995490,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS828341737","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",15,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2019-11-16T00:00:00",16,11,2019,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS828341737",NA,"","","CC_BY_4_0","","obsr1314843",NA,NA,"2023-06-07 15:29:26","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
2663368198,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS722510053","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2019-03-10T00:00:00",10,3,2019,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS722510053",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:25:42","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
