"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4096730821,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/156591402","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.65386,12.10893,15,NA,NA,NA,NA,NA,"2023-04-24T10:27:00",24,4,2023,2480764,2480764,"HUMAN_OBSERVATION","iNaturalist","Observations","156591402",NA,"samuele2010","2023-04-25T15:42:19","CC_BY_NC_4_0","samuele2010","samuele2010",NA,NA,"2023-06-14 10:13:03","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.10893 44.65386)"
3824433294,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/239849436","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Italy - Argenta (comuni)","","PRESENT",8,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.56151,12.13404,4,NA,NA,NA,NA,NA,"2022-05-01T00:00:00",1,5,2022,2480764,2480764,"HUMAN_OBSERVATION","","Observations","OBS.239849436",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 6959",NA,NA,"2023-06-13 16:00:01","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.13404 44.56151)"
3784779771,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/117278928","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.55242,12.13994,20,NA,NA,NA,NA,NA,"2022-04-20T11:41:00",20,4,2022,2480764,2480764,"HUMAN_OBSERVATION","iNaturalist","Observations","117278928",NA,"Beat Akeret","2022-05-16T07:57:09","CC_BY_NC_4_0","Beat Akeret","Beat Akeret",NA,NA,"2023-06-14 10:08:43","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.13994 44.55242)"
3747246793,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/108980708","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.66486,12.19802,61,NA,NA,NA,NA,NA,"2022-02-12T10:00:00",12,2,2022,2480764,2480764,"HUMAN_OBSERVATION","iNaturalist","Observations","108980708",NA,"gaetano_forti","2022-03-19T20:08:14","CC_BY_NC_4_0","gaetano_forti","gaetano_forti",NA,NA,"2023-06-14 09:51:07","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.19802 44.66486)"
3687447124,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1249286828","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Valli di Comacchio--Saline","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.65703,12.20512,NA,NA,NA,NA,NA,NA,"2021-10-03T00:00:00",3,10,2021,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1249286828",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:14:34","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.20512 44.65703)"
3682156411,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1222411211","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Oasi Naturalistica Valle Zavalea","Emilia-Romagna","PRESENT",40,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.65572,12.11571,NA,NA,NA,NA,NA,NA,"2021-08-22T00:00:00",22,8,2021,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1222411211",NA,"","","CC_BY_4_0","","obsr1073759",NA,NA,"2023-06-07 15:14:24","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.11571 44.65572)"
3681348330,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1222411173","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Oasi Naturalistica Valle Zavalea","Emilia-Romagna","PRESENT",40,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.65572,12.11571,NA,NA,NA,NA,NA,NA,"2021-08-22T00:00:00",22,8,2021,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1222411173",NA,"","","CC_BY_4_0","","obsr1001285",NA,NA,"2023-06-07 15:14:09","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.11571 44.65572)"
3671709999,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1136837632","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Valli di Comacchio--Boscoforte","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.55564,12.15384,NA,NA,NA,NA,NA,NA,"2021-04-30T00:00:00",30,4,2021,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1136837632",NA,"","","CC_BY_4_0","","obsr1756759",NA,NA,"2023-06-07 15:16:24","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.15384 44.55564)"
3662369343,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1256890699","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Valli di Comacchio--Boscoforte","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.55564,12.15384,NA,NA,NA,NA,NA,NA,"2021-10-13T00:00:00",13,10,2021,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1256890699",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:31:26","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.15384 44.55564)"
3653829807,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1138381251","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",NA,"SPECIES","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus",NA,"IT","Big day area","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.622,12.18465,NA,NA,NA,NA,NA,NA,"2021-05-01T00:00:00",1,5,2021,2480764,2480764,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1138381251",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:40:43","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.18465 44.622)"
