"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3732974656,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/225582321","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Italy - Trapani (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",37.96304,12.5028,3,NA,NA,NA,NA,NA,"2021-09-12T00:00:00",12,9,2021,2481726,2481726,"HUMAN_OBSERVATION","","Observations","OBS.225582321","","","","CC_BY_NC_4_0","Stichting Observation International","User 61839",NA,NA,"2023-06-13 16:00:04","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.5028 37.96304)"
3723441588,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/225582340","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Italy - Trapani (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",37.99874,12.53378,3,NA,NA,NA,NA,NA,"2021-09-12T00:00:00",12,9,2021,2481726,2481726,"HUMAN_OBSERVATION","","Observations","OBS.225582340","","","","CC_BY_NC_4_0","Stichting Observation International","User 61839",NA,NA,"2023-06-13 15:57:44","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.53378 37.99874)"
3722326532,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/225594546","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Italy - Trapani (comuni)","","PRESENT",3,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",37.99998,12.53361,25,NA,NA,NA,NA,NA,"2021-09-12T00:00:00",12,9,2021,2481726,2481726,"HUMAN_OBSERVATION","","Observations","OBS.225594546","","","","CC_BY_NC_4_0","Stichting Observation International","User 1358",NA,NA,"2023-06-13 16:00:22","StillImage","CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.53361 37.99998)"
3686241571,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1233551021","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Salinagrande","Sicilia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.9591,12.50534,NA,NA,NA,NA,NA,NA,"2021-09-09T00:00:00",9,9,2021,2481726,2481726,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1233551021","","","","CC_BY_4_0","","obsr1147494",NA,NA,"2023-06-07 15:20:53","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50534 37.9591)"
3661656379,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1277159385","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Saline di Trapani--Ovest","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",38.00292,12.50981,NA,NA,NA,NA,NA,NA,"2021-11-14T00:00:00",14,11,2021,2481726,2481726,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1277159385","","","","CC_BY_4_0","","obsr1622555",NA,NA,"2023-06-07 15:16:29","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50981 38.00292)"
3550768568,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1281434298","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Saline di Trapani--Ovest","Sicilia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",38.00292,12.50981,NA,NA,NA,NA,NA,NA,"2021-11-21T00:00:00",21,11,2021,2481726,2481726,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1281434298","","","","CC_BY_4_0","","obsr1622555",NA,NA,"2023-06-07 15:30:49","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50981 38.00292)"
3457107809,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/104037709","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.98476,12.51292,399,NA,NA,NA,NA,NA,"2021-12-30T13:38:00",30,12,2021,2481726,2481726,"HUMAN_OBSERVATION","iNaturalist","Observations","104037709","","Luca Fornasari","2021-12-31T16:32:15","CC_BY_NC_4_0","Luca Fornasari","Luca Fornasari",NA,NA,"2023-06-21 11:08:38","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.51292 37.98476)"
3456944772,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/104037708","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.98645,12.51144,NA,NA,NA,NA,NA,NA,"2021-12-30T12:56:00",30,12,2021,2481726,2481726,"HUMAN_OBSERVATION","iNaturalist","Observations","104037708","","Luca Fornasari","2021-12-31T16:32:15","CC_BY_NC_4_0","Luca Fornasari","Luca Fornasari",NA,NA,"2023-06-21 11:09:04","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.51144 37.98645)"
3456927468,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/104037706","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.98476,12.51292,399,NA,NA,NA,NA,NA,"2021-12-30T13:10:00",30,12,2021,2481726,2481726,"HUMAN_OBSERVATION","iNaturalist","Observations","104037706","","Luca Fornasari","2021-12-31T16:32:14","CC_BY_NC_4_0","Luca Fornasari","Luca Fornasari",NA,NA,"2023-06-21 11:20:32","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.51292 37.98476)"
2984482877,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/64629866","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99472,12.50933,31,NA,NA,NA,NA,NA,"2020-10-31T23:46:00",31,10,2020,2481726,2481726,"HUMAN_OBSERVATION","iNaturalist","Observations","64629866","","Mathia Coco","2020-11-10T22:48:19","CC_BY_NC_4_0","Mathia Coco","Mathia Coco",NA,NA,"2023-06-21 11:16:52","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50933 37.99472)"
