"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4096636814,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/156591441","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.66588,12.22069,15,NA,NA,NA,NA,NA,"2023-04-24T14:51:00",24,4,2023,2481726,2481726,"HUMAN_OBSERVATION","iNaturalist","Observations","156591441","","samuele2010","2023-04-25T15:42:26","CC_BY_NC_4_0","samuele2010","samuele2010",NA,NA,"2023-06-21 11:11:52","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22069 44.66588)"
4067669764,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/150853898","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.66066,12.18442,126,NA,NA,NA,NA,NA,"2023-03-11T18:04:00",11,3,2023,2481726,2481726,"HUMAN_OBSERVATION","iNaturalist","Observations","150853898","","Enrico Cecconello","2023-03-11T21:05:24","CC_BY_NC_4_0","Valentina","Valentina",NA,NA,"2023-06-21 11:23:18","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.18442 44.66066)"
4062961697,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/150601358","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.6718,12.2108,1332,NA,NA,NA,NA,NA,"2023-03-08T07:30:00",8,3,2023,2481726,2481726,"HUMAN_OBSERVATION","iNaturalist","Observations","150601358","","pevel65","2023-03-08T21:12:19","CC_BY_NC_4_0","pevel65","pevel65",NA,NA,"2023-06-21 11:11:25","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.2108 44.6718)"
3923284272,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/137198829","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.661,12.21603,1036,NA,NA,NA,NA,NA,"2022-10-01T10:58:00",1,10,2022,2481726,2481726,"HUMAN_OBSERVATION","iNaturalist","Observations","137198829","","Enrico Cecconello","2022-10-01T21:13:03","CC_BY_NC_4_0","Enrico Cecconello","Enrico Cecconello",NA,NA,"2023-06-21 11:21:48","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.21603 44.661)"
3903523612,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/134684456","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.66245,12.18748,15,NA,NA,NA,NA,NA,"2022-08-18T14:10:00",18,8,2022,2481726,2481726,"HUMAN_OBSERVATION","iNaturalist","Observations","134684456","","Baxter Naday","2022-09-12T02:45:14","CC_BY_NC_4_0","Baxter Naday","Baxter Naday",NA,NA,"2023-06-21 11:23:31","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.18748 44.66245)"
3903321853,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/134684501","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.653,12.18986,58,NA,NA,NA,NA,NA,"2022-08-18T19:20:00",18,8,2022,2481726,2481726,"HUMAN_OBSERVATION","iNaturalist","Observations","134684501","","Baxter Naday","2022-09-12T02:45:24","CC_BY_NC_4_0","Baxter Naday","Baxter Naday",NA,NA,"2023-06-21 11:11:16","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.18986 44.653)"
3902810227,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/134046818","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.67182,12.20258,115,NA,NA,NA,NA,NA,"2022-09-06T16:19:44",6,9,2022,2481726,2481726,"HUMAN_OBSERVATION","iNaturalist","Observations","134046818","","Valerio","2022-09-07T15:27:16","CC_BY_NC_4_0","Valerio","Valerio",NA,NA,"2023-06-21 11:10:46","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.20258 44.67182)"
3902549317,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/131249324","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.57652,12.21374,122,NA,NA,NA,NA,NA,"2022-08-16T08:18:00",16,8,2022,2481726,2481726,"HUMAN_OBSERVATION","iNaturalist","Observations","131249324","","Ville Räihä","2022-08-18T05:12:41","CC_BY_NC_4_0","iuggg","iuggg",NA,NA,"2023-06-21 11:10:28","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.21374 44.57652)"
3892667920,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/130623091","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.66479,12.20021,184,NA,NA,NA,NA,NA,"2022-03-01T15:11:00",1,3,2022,2481726,2481726,"HUMAN_OBSERVATION","iNaturalist","Observations","130623091","","Aku Kalliomäki","2022-08-13T19:08:40","CC_BY_NC_4_0","Petra Cattano","Petra Cattano",NA,NA,"2023-06-21 11:21:17","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.20021 44.66479)"
3802413298,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/118683002","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.66976,12.22179,31,NA,NA,NA,NA,NA,"2022-04-25T10:50:00",25,4,2022,2481726,2481726,"HUMAN_OBSERVATION","iNaturalist","Observations","118683002","","Thorsten Hackbarth","2022-05-25T19:15:01","CC_BY_NC_4_0","gaetano_forti","gaetano_forti",NA,NA,"2023-06-21 11:09:41","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22179 44.66976)"
3732513393,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/225347478","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Italy - Comacchio (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.66076,12.18513,4,NA,NA,NA,NA,NA,"2021-09-10T00:00:00",10,9,2021,2481726,2481726,"HUMAN_OBSERVATION","","Observations","OBS.225347478","","","","CC_BY_NC_4_0","Stichting Observation International","User 46619",NA,NA,"2023-06-13 15:59:49","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.18513 44.66076)"
3732508854,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/223442416","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Italy - Comacchio (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.64453,12.16816,7,NA,NA,NA,NA,NA,"2021-08-20T00:00:00",20,8,2021,2481726,2481726,"HUMAN_OBSERVATION","","Observations","OBS.223442416","","","","CC_BY_NC_4_0","Stichting Observation International","User 112249",NA,NA,"2023-06-13 16:00:07","StillImage","CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.16816 44.64453)"
3723231691,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/226002070","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Italy - Comacchio (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.65297,12.11283,3,NA,NA,NA,NA,NA,"2021-09-20T00:00:00",20,9,2021,2481726,2481726,"HUMAN_OBSERVATION","","Observations","OBS.226002070","","","","CC_BY_NC_4_0","Stichting Observation International","User 21037",NA,NA,"2023-06-13 16:00:11","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.11283 44.65297)"
3723098941,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/227552715","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Italy - Comacchio (comuni)","","PRESENT",4,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.66321,12.18861,4,NA,NA,NA,NA,NA,"2021-10-04T00:00:00",4,10,2021,2481726,2481726,"HUMAN_OBSERVATION","","Observations","OBS.227552715","","","","CC_BY_NC_4_0","Stichting Observation International","User 45616",NA,NA,"2023-06-13 15:58:05","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.18861 44.66321)"
3722619423,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/226838725","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Italy - Comacchio (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.66186,12.18436,4,NA,NA,NA,NA,NA,"2021-09-21T00:00:00",21,9,2021,2481726,2481726,"HUMAN_OBSERVATION","","Observations","OBS.226838725","","","","CC_BY_NC_4_0","Stichting Observation International","User 197743",NA,NA,"2023-06-13 15:57:50","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.18436 44.66186)"
3715911137,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/174234142","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Italy - Ravenna (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.58044,12.25314,25,NA,NA,NA,NA,NA,"2019-05-07T00:00:00",7,5,2019,2481726,2481726,"HUMAN_OBSERVATION","","Observations","OBS.174234142","","","","CC_BY_NC_4_0","Stichting Observation International","User 166239",NA,NA,"2023-06-13 15:57:08","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.25314 44.58044)"
3685111256,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1222411189","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Oasi Naturalistica Valle Zavalea","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.65572,12.11571,NA,NA,NA,NA,NA,NA,"2021-08-22T00:00:00",22,8,2021,2481726,2481726,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1222411189","","","","CC_BY_4_0","","obsr1001285",NA,NA,"2023-06-07 15:15:55","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.11571 44.65572)"
3672283434,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1232253626","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Valle Fattibello","Emilia-Romagna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.67292,12.19729,NA,NA,NA,NA,NA,NA,"2021-09-07T00:00:00",7,9,2021,2481726,2481726,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1232253626","","","","CC_BY_4_0","","obsr1057387",NA,NA,"2023-06-07 15:14:56","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.19729 44.67292)"
3649955180,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1234042689","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Valle Fattibello","Emilia-Romagna","PRESENT",12,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.67292,12.19729,NA,NA,NA,NA,NA,NA,"2021-09-10T00:00:00",10,9,2021,2481726,2481726,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1234042689","","","","CC_BY_4_0","","obsr1057387",NA,NA,"2023-06-07 15:14:15","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.19729 44.67292)"
3631194175,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1222424427","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",NA,"SPECIES","Tringa nebularia (Gunnerus, 1767)","Tringa nebularia","","IT","Oasi Naturalistica Valle Zavalea","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.65572,12.11571,NA,NA,NA,NA,NA,NA,"2021-08-22T00:00:00",22,8,2021,2481726,2481726,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1222424427","","","","CC_BY_4_0","","obsr1073759",NA,NA,"2023-06-07 15:44:37","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.11571 44.65572)"
