"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3530709189,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1070803278","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos","","SPECIES","Turdus philomelos C.L.Brehm, 1831","Turdus philomelos","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2021-02-12T00:00:00",12,2,2021,7901064,7901064,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1070803278","","","","CC_BY_4_0","","obsr288584",NA,"","2023-06-07 15:28:34","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
3522127069,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1082211074","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos","","SPECIES","Turdus philomelos C.L.Brehm, 1831","Turdus philomelos","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2021-02-25T00:00:00",25,2,2021,7901064,7901064,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1082211074","","","","CC_BY_4_0","","obsr288584",NA,"","2023-06-07 15:28:55","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
3516251807,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1070901358","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos","","SPECIES","Turdus philomelos C.L.Brehm, 1831","Turdus philomelos","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2021-02-12T00:00:00",12,2,2021,7901064,7901064,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1070901358","","","","CC_BY_4_0","","obsr288584",NA,"","2023-06-07 15:35:32","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
3134053873,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS857213472","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos","","SPECIES","Turdus philomelos C.L.Brehm, 1831","Turdus philomelos","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2020-01-28T00:00:00",28,1,2020,7901064,7901064,"HUMAN_OBSERVATION","CLO","EBIRD","OBS857213472","","","","CC_BY_4_0","","obsr288584",NA,"","2023-06-07 15:26:25","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
2735820163,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS706500623","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos","","SPECIES","Turdus philomelos C.L.Brehm, 1831","Turdus philomelos","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2019-02-04T00:00:00",4,2,2019,7901064,7901064,"HUMAN_OBSERVATION","CLO","EBIRD","OBS706500623","","","","CC_BY_4_0","","obsr288584",NA,"","2023-06-07 15:25:28","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
2660621078,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS701794592","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos","","SPECIES","Turdus philomelos C.L.Brehm, 1831","Turdus philomelos","","IT","Riserva Naturale Nazzano Tevere-Farfa--EST (Fattoria Didattica, La Mola)","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21409,12.60738,NA,NA,NA,NA,NA,NA,"2019-01-23T00:00:00",23,1,2019,7901064,7901064,"HUMAN_OBSERVATION","CLO","EBIRD","OBS701794592","","","","CC_BY_4_0","","obsr288584",NA,"","2023-06-07 15:23:51","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60738 42.21409)"
2655257236,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS707224497","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos","","SPECIES","Turdus philomelos C.L.Brehm, 1831","Turdus philomelos","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2019-02-06T00:00:00",6,2,2019,7901064,7901064,"HUMAN_OBSERVATION","CLO","EBIRD","OBS707224497","","","","CC_BY_4_0","","obsr288584",NA,"","2023-06-07 15:23:27","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
2231300373,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS683299353","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos","","SPECIES","Turdus philomelos C.L.Brehm, 1831","Turdus philomelos","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2018-12-06T00:00:00",6,12,2018,7901064,7901064,"HUMAN_OBSERVATION","CLO","EBIRD","OBS683299353","","","","CC_BY_4_0","","obsr288584",NA,"","2023-06-07 15:25:13","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
2135749823,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS574835294","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos","","SPECIES","Turdus philomelos C.L.Brehm, 1831","Turdus philomelos","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2018-02-06T00:00:00",6,2,2018,7901064,7901064,"HUMAN_OBSERVATION","CLO","EBIRD","OBS574835294","","","","CC_BY_4_0","","obsr288584",NA,"","2023-06-07 15:23:00","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
2124724681,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS574511369","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos","","SPECIES","Turdus philomelos C.L.Brehm, 1831","Turdus philomelos","","IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2018-02-05T00:00:00",5,2,2018,7901064,7901064,"HUMAN_OBSERVATION","CLO","EBIRD","OBS574511369","","","","CC_BY_4_0","","obsr288584",NA,"","2023-06-07 15:22:27","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
