"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3961496600,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140797079","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta","","SPECIES","Vanessa atalanta (Linnaeus, 1758)","Vanessa atalanta","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.15764,10.69563,NA,NA,NA,NA,NA,NA,"2022-06-15T14:46:00",15,6,2022,1898286,1898286,"HUMAN_OBSERVATION","iNaturalist","Observations","140797079","","Marco Munari","2022-11-01T18:04:38","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:10:54","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.69563 45.15764)"
3314187179,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/83955907","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta","","SPECIES","Vanessa atalanta (Linnaeus, 1758)","Vanessa atalanta","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.19803,10.68326,100,NA,NA,NA,NA,NA,"2021-06-19T18:54:00",19,6,2021,1898286,1898286,"HUMAN_OBSERVATION","iNaturalist","Observations","83955907","","Marco Munari","2021-06-21T17:24:20","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:07:22","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.68326 45.19803)"
2238804831,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/23132210","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta","","SPECIES","Vanessa atalanta (Linnaeus, 1758)","Vanessa atalanta","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.18319,10.68807,NA,NA,NA,NA,NA,NA,"2019-04-21T18:00:00",21,4,2019,1898286,1898286,"HUMAN_OBSERVATION","iNaturalist","Observations","23132210","","Marco Munari","2019-04-26T13:58:47","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:14:16","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.68807 45.18319)"
1932352036,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/17823446","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta","","SPECIES","Vanessa atalanta (Linnaeus, 1758)","Vanessa atalanta","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.19608,10.68392,282,NA,NA,NA,NA,NA,"2018-10-25T15:03:00",25,10,2018,1898286,1898286,"HUMAN_OBSERVATION","iNaturalist","Observations","17823446","","Marco Munari","2018-10-25T14:26:04","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:14:01","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.68392 45.19608)"
1932351955,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/17823401","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta","","SPECIES","Vanessa atalanta (Linnaeus, 1758)","Vanessa atalanta","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.19624,10.68393,199,NA,NA,NA,NA,NA,"2018-10-25T15:03:00",25,10,2018,1898286,1898286,"HUMAN_OBSERVATION","iNaturalist","Observations","17823401","","Marco Munari","2018-10-25T14:24:35","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:03:34","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.68393 45.19624)"
1898802926,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/15644150","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta","","SPECIES","Vanessa atalanta (Linnaeus, 1758)","Vanessa atalanta","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.19737,10.68423,88,NA,NA,NA,NA,NA,"2018-08-18T19:25:11",18,8,2018,1898286,1898286,"HUMAN_OBSERVATION","iNaturalist","Observations","15644150","","Marco Munari","2018-08-18T21:33:36","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:13:07","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.68423 45.19737)"
1677298408,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/8398528","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta","","SPECIES","Vanessa atalanta (Linnaeus, 1758)","Vanessa atalanta","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.19738,10.6845,2752,NA,NA,NA,NA,NA,"2017-10-14T15:15:11",14,10,2017,1898286,1898286,"HUMAN_OBSERVATION","iNaturalist","Observations","8398528","","Marco Munari","2017-10-14T15:15:11","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:03:08","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.6845 45.19738)"
1640092862,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/7778102","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta","","SPECIES","Vanessa atalanta (Linnaeus, 1758)","Vanessa atalanta","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.19741,10.6844,40,NA,NA,NA,NA,NA,"2017-09-03T18:17:00",3,9,2017,1898286,1898286,"HUMAN_OBSERVATION","iNaturalist","Observations","7778102","","Marco Munari","2017-09-04T15:52:41","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:03:07","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.6844 45.19741)"
1640092728,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/7778101","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta","","SPECIES","Vanessa atalanta (Linnaeus, 1758)","Vanessa atalanta","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.19741,10.6844,40,NA,NA,NA,NA,NA,"2017-09-03T18:06:00",3,9,2017,1898286,1898286,"HUMAN_OBSERVATION","iNaturalist","Observations","7778101","","Marco Munari","2017-09-04T15:52:41","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:03:06","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.6844 45.19741)"
1640092702,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/7778100","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta","","SPECIES","Vanessa atalanta (Linnaeus, 1758)","Vanessa atalanta","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.19741,10.6844,40,NA,NA,NA,NA,NA,"2017-09-03T17:59:00",3,9,2017,1898286,1898286,"HUMAN_OBSERVATION","iNaturalist","Observations","7778100","","Marco Munari","2017-09-04T15:52:40","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:03:07","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.6844 45.19741)"
1580516225,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/7133106","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta","","SPECIES","Vanessa atalanta (Linnaeus, 1758)","Vanessa atalanta","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.15835,10.69048,17,NA,NA,NA,NA,NA,"2017-07-09T08:35:00",9,7,2017,1898286,1898286,"HUMAN_OBSERVATION","iNaturalist","Observations","7133106","","Marco Munari","2017-07-20T17:22:07","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:03:04","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.69048 45.15835)"
1580516196,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/7133188","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta","","SPECIES","Vanessa atalanta (Linnaeus, 1758)","Vanessa atalanta","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.15884,10.68983,32,NA,NA,NA,NA,NA,"2017-07-09T10:51:00",9,7,2017,1898286,1898286,"HUMAN_OBSERVATION","iNaturalist","Observations","7133188","","Marco Munari","2017-07-20T17:29:50","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:12:54","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.68983 45.15884)"
