"specie","A","Aloc","IntraDO","InterDO","E","TR","TRMO"
"Corvus cornix","3.91854780307357e-06","4.96349388389319e-06","18.4385964912281","0.789473684210526","0.0119794988284736","0.462222222222222","0.153333333333333"
"Egretta garzetta","4.18640405806685e-06","5.30277847355135e-06","27.9122807017544","0.789473684210526","0.0124028315633421","0.557777777777778","0.193333333333333"
"Ardea cinerea","5.43562847268703e-06","7.20536797542234e-06","28.0175438596491","0.754385964912281","0.0191685598562939","0.57906976744186","0.211627906976744"
"Anas platyrhynchos","5.01555744701217e-06","6.21492987999334e-06","25.0701754385965","0.807017543859649","0.016665925126307","0.539130434782609","0.2"
"Circus aeruginosus","2.78617559176329e-06","3.69330252861646e-06","14.2280701754386","0.754385964912281","0.0122201163153785","0.472093023255814","0.104651162790698"
"Pica pica","3.12080722899555e-06","4.56117979622427e-06","16.5087719298246","0.684210526315789","0.00775251987536817","0.476923076923077","0.158974358974359"
"Falco tinnunculus","1.97242655647203e-06","2.6768646123549e-06","11.2280701754386","0.736842105263158","0.00722276311896839","0.445238095238095","0.0880952380952381"
"Ardea alba","2.97292372124057e-06","4.45938558186085e-06","17.8947368421053","0.666666666666667","0.0136672474587909","0.563157894736842","0.163157894736842"
"Cettia cetti","2.33523050010898e-06","3.50284575016347e-06","11.2280701754386","0.666666666666667","0.00626805258663749","0.436842105263158","0.0973684210526316"
"Buteo buteo","1.80988718659759e-06","2.94753056103036e-06","8.73684210526316","0.614035087719298","0.00949213743621119","0.394285714285714","0.0771428571428572"
"Phalacrocorax carbo","4.94919275607875e-06","6.71676159753545e-06","25.9824561403509","0.736842105263158","0.0181442670089513","0.554761904761905","0.20952380952381"
"Larus michahellis","3.69997864895153e-06","5.54996797342729e-06","22.3333333333333","0.666666666666667","0.0117501064374859","0.565789473684211","0.192105263157895"
"Chroicocephalus ridibundus","3.0513696723216e-06","4.96937346635232e-06","19.4210526315789","0.614035087719298","0.0129679749579788","0.557142857142857","0.168571428571429"
"Sturnus vulgaris","2.08095757765495e-06","2.9653645481583e-06","10.6140350877193","0.701754385964912","0.00696173851833526","0.395","0.1"
"Passer italiae","1.95962322900385e-06","3.28525070744763e-06","10.2456140350877","0.596491228070175","0.00708661940327588","0.479411764705882","0.102941176470588"
"Gallinula chloropus","2.68320789268844e-06","3.92161153546772e-06","12.3859649122807","0.684210526315789","0.0110144963264931","0.474358974358974","0.0974358974358974"
